computed_ts,window_minutes,component,available,crisp_score,membership_favorable,membership_acceptable,membership_degraded,membership_critical,room,season
2026-06-19 00:05:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-19 00:05:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-19 00:05:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-19 00:10:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-19 00:10:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-19 00:10:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-19 00:15:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-19 00:15:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-19 00:15:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-19 00:20:00+03:00,15,A,False,,,,,,kitchen,warm_period
2026-06-19 00:20:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-19 00:20:00+03:00,15,V,False,,,,,,kitchen,warm_period
2026-06-19 00:25:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 00:25:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-19 00:25:00+03:00,15,V,True,13.417227523144213,0.9628571428571425,0.03714285714285747,0.0,0.0,kitchen,warm_period
2026-06-19 00:30:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 00:30:00+03:00,15,M,False,,,,,,kitchen,warm_period
2026-06-19 00:30:00+03:00,15,V,True,13.230241574709225,0.9699999999999996,0.030000000000000325,0.0,0.0,kitchen,warm_period
2026-06-19 00:35:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 00:35:00+03:00,15,M,True,32.971599769560136,0.1839999999999975,0.8160000000000025,0.0,0.0,kitchen,warm_period
2026-06-19 00:35:00+03:00,15,V,True,14.214140138833722,0.9323809523809522,0.06761904761904784,0.0,0.0,kitchen,warm_period
2026-06-19 00:40:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 00:40:00+03:00,15,M,True,31.736996006400375,0.23433333333333195,0.765666666666668,0.0,0.0,kitchen,warm_period
2026-06-19 00:40:00+03:00,15,V,True,14.75496617542465,0.9116666666666674,0.08833333333333257,0.0,0.0,kitchen,warm_period
2026-06-19 00:45:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 00:45:00+03:00,15,M,True,29.49041504030311,0.3256666666666632,0.6743333333333368,0.0,0.0,kitchen,warm_period
2026-06-19 00:45:00+03:00,15,V,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 00:50:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 00:50:00+03:00,15,M,True,26.711948017722747,0.4383333333333326,0.5616666666666674,0.0,0.0,kitchen,warm_period
2026-06-19 00:50:00+03:00,15,V,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 00:55:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 00:55:00+03:00,15,M,True,24.2406172839507,0.5379999999999967,0.4620000000000033,0.0,0.0,kitchen,warm_period
2026-06-19 00:55:00+03:00,15,V,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 01:00:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 01:00:00+03:00,15,M,True,21.91970882225155,0.630999999999986,0.369000000000014,0.0,0.0,kitchen,warm_period
2026-06-19 01:00:00+03:00,15,V,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 01:05:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 01:05:00+03:00,15,M,True,19.682051696071518,0.7196666666666616,0.28033333333333843,0.0,0.0,kitchen,warm_period
2026-06-19 01:05:00+03:00,15,V,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 01:10:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 01:10:00+03:00,15,M,True,17.49885577294302,0.805333333333337,0.194666666666663,0.0,0.0,kitchen,warm_period
2026-06-19 01:10:00+03:00,15,V,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 01:15:00+03:00,15,A,True,12.444029850746269,1.0,0.0,0.0,0.0,kitchen,warm_period
2026-06-19 01:15:00+03:00,15,M,True,15.649902182390392,0.8773333333333255,0.12266666666667447,0.0,0.0,kitchen,warm_period
