trial_index,trial_class,changed_from_baseline
0,Acceptable,True
1,Acceptable,True
2,Degraded,False
3,Degraded,False
4,Degraded,False
5,Acceptable,True
6,Acceptable,True
7,Acceptable,True
8,Acceptable,True
9,Degraded,False
10,Acceptable,True
11,Degraded,False
12,Degraded,False
13,Degraded,False
14,Acceptable,True
15,Degraded,False
16,Degraded,False
17,Acceptable,True
18,Degraded,False
19,Degraded,False
20,Degraded,False
21,Degraded,False
22,Acceptable,True
23,Acceptable,True
24,Degraded,False
25,Degraded,False
26,Degraded,False
27,Degraded,False
28,Degraded,False
29,Degraded,False
