scenario_id,dataset_split,channel,fault_type,injected_at_index,duration_samples,description
co2_data_loss_calibration,calibration,co2,data_loss,20,5,5 consecutive missing samples.
co2_genuine_rapid_event_calibration,calibration,co2,genuine_event,20,20,"Sustained step change -- must remain usable, not be discarded as a fault."
co2_gradual_drift_calibration,calibration,co2,gradual_drift,20,10,Steep 10-step monotonic ramp exceeding the magnitude gate.
co2_out_of_range_calibration,calibration,co2,out_of_range,20,1,One value far outside the datasheet technical range.
co2_persistent_real_change_calibration,calibration,co2,genuine_event,20,20,"Gradual but sustained real rise that plateaus and holds -- a genuine change, not a transient fault."
co2_single_spike_alt_calibration,calibration,co2,single_spike,20,1,One isolated large deviation (+120.0) reverting immediately.
co2_single_spike_calibration,calibration,co2,single_spike,20,1,One isolated large deviation (+400.0) reverting immediately.
co2_stuck_value_calibration,calibration,co2,stuck_value,20,8,8 consecutive identical readings.
humidity_data_loss_calibration,calibration,humidity,data_loss,20,5,5 consecutive missing samples.
humidity_genuine_rapid_event_calibration,calibration,humidity,genuine_event,20,20,"Sustained step change -- must remain usable, not be discarded as a fault."
humidity_gradual_drift_calibration,calibration,humidity,gradual_drift,20,10,Steep 10-step monotonic ramp exceeding the magnitude gate.
humidity_out_of_range_calibration,calibration,humidity,out_of_range,20,1,One value far outside the datasheet technical range.
humidity_persistent_real_change_calibration,calibration,humidity,genuine_event,20,20,"Gradual but sustained real rise that plateaus and holds -- a genuine change, not a transient fault."
humidity_single_spike_alt_calibration,calibration,humidity,single_spike,20,1,One isolated large deviation (+15.0) reverting immediately.
humidity_single_spike_calibration,calibration,humidity,single_spike,20,1,One isolated large deviation (+35.0) reverting immediately.
humidity_stuck_value_calibration,calibration,humidity,stuck_value,20,8,8 consecutive identical readings.
pm10_data_loss_calibration,calibration,pm10,data_loss,20,5,5 consecutive missing samples.
pm10_gradual_drift_calibration,calibration,pm10,gradual_drift,20,10,Steep 10-step monotonic ramp exceeding the magnitude gate.
pm10_out_of_range_calibration,calibration,pm10,out_of_range,20,1,One value far outside the datasheet technical range.
pm10_single_spike_calibration,calibration,pm10,single_spike,20,1,One isolated large deviation (+40.0) reverting immediately.
pm10_stuck_value_calibration,calibration,pm10,stuck_value,20,8,8 consecutive identical readings.
pm2_5_order_violation_calibration,calibration,pm2_5,out_of_range,20,1,"PM1 mass exceeds PM2.5 mass at one sample, violating cumulative ordering -- correctly classified as out_of_range (no distinct PM-ordering reason code exists)."
temperature_data_loss_calibration,calibration,temperature,data_loss,20,5,5 consecutive missing samples.
temperature_genuine_rapid_event_calibration,calibration,temperature,genuine_event,20,20,"Sustained step change -- must remain usable, not be discarded as a fault."
temperature_gradual_drift_calibration,calibration,temperature,gradual_drift,20,10,Steep 10-step monotonic ramp exceeding the magnitude gate.
temperature_out_of_range_calibration,calibration,temperature,out_of_range,20,1,One value far outside the datasheet technical range.
temperature_persistent_real_change_calibration,calibration,temperature,genuine_event,20,20,"Gradual but sustained real rise that plateaus and holds -- a genuine change, not a transient fault."
temperature_single_spike_alt_calibration,calibration,temperature,single_spike,20,1,One isolated large deviation (+2.5) reverting immediately.
temperature_single_spike_calibration,calibration,temperature,single_spike,20,1,One isolated large deviation (+8.0) reverting immediately.
temperature_stuck_value_calibration,calibration,temperature,stuck_value,20,8,8 consecutive identical readings.
co2_data_loss_validation,validation,co2,data_loss,20,5,5 consecutive missing samples.
co2_genuine_rapid_event_validation,validation,co2,genuine_event,20,20,"Sustained step change -- must remain usable, not be discarded as a fault."
co2_gradual_drift_validation,validation,co2,gradual_drift,20,10,Steep 10-step monotonic ramp exceeding the magnitude gate.
co2_out_of_range_validation,validation,co2,out_of_range,20,1,One value far outside the datasheet technical range.
co2_persistent_real_change_validation,validation,co2,genuine_event,20,20,"Gradual but sustained real rise that plateaus and holds -- a genuine change, not a transient fault."
co2_single_spike_alt_validation,validation,co2,single_spike,20,1,One isolated large deviation (+120.0) reverting immediately.
co2_single_spike_validation,validation,co2,single_spike,20,1,One isolated large deviation (+400.0) reverting immediately.
co2_stuck_value_validation,validation,co2,stuck_value,20,8,8 consecutive identical readings.
humidity_data_loss_validation,validation,humidity,data_loss,20,5,5 consecutive missing samples.
humidity_genuine_rapid_event_validation,validation,humidity,genuine_event,20,20,"Sustained step change -- must remain usable, not be discarded as a fault."
humidity_gradual_drift_validation,validation,humidity,gradual_drift,20,10,Steep 10-step monotonic ramp exceeding the magnitude gate.
humidity_out_of_range_validation,validation,humidity,out_of_range,20,1,One value far outside the datasheet technical range.
humidity_persistent_real_change_validation,validation,humidity,genuine_event,20,20,"Gradual but sustained real rise that plateaus and holds -- a genuine change, not a transient fault."
humidity_single_spike_alt_validation,validation,humidity,single_spike,20,1,One isolated large deviation (+15.0) reverting immediately.
humidity_single_spike_validation,validation,humidity,single_spike,20,1,One isolated large deviation (+35.0) reverting immediately.
humidity_stuck_value_validation,validation,humidity,stuck_value,20,8,8 consecutive identical readings.
pm10_data_loss_validation,validation,pm10,data_loss,20,5,5 consecutive missing samples.
pm10_gradual_drift_validation,validation,pm10,gradual_drift,20,10,Steep 10-step monotonic ramp exceeding the magnitude gate.
pm10_out_of_range_validation,validation,pm10,out_of_range,20,1,One value far outside the datasheet technical range.
pm10_single_spike_validation,validation,pm10,single_spike,20,1,One isolated large deviation (+40.0) reverting immediately.
pm10_stuck_value_validation,validation,pm10,stuck_value,20,8,8 consecutive identical readings.
pm2_5_order_violation_validation,validation,pm2_5,out_of_range,20,1,"PM1 mass exceeds PM2.5 mass at one sample, violating cumulative ordering -- correctly classified as out_of_range (no distinct PM-ordering reason code exists)."
temperature_data_loss_validation,validation,temperature,data_loss,20,5,5 consecutive missing samples.
temperature_genuine_rapid_event_validation,validation,temperature,genuine_event,20,20,"Sustained step change -- must remain usable, not be discarded as a fault."
temperature_gradual_drift_validation,validation,temperature,gradual_drift,20,10,Steep 10-step monotonic ramp exceeding the magnitude gate.
temperature_out_of_range_validation,validation,temperature,out_of_range,20,1,One value far outside the datasheet technical range.
temperature_persistent_real_change_validation,validation,temperature,genuine_event,20,20,"Gradual but sustained real rise that plateaus and holds -- a genuine change, not a transient fault."
temperature_single_spike_alt_validation,validation,temperature,single_spike,20,1,One isolated large deviation (+2.5) reverting immediately.
temperature_single_spike_validation,validation,temperature,single_spike,20,1,One isolated large deviation (+8.0) reverting immediately.
temperature_stuck_value_validation,validation,temperature,stuck_value,20,8,8 consecutive identical readings.
