computed_ts,window_minutes,completeness_status,index_value,index_class,dominant_component,co_dominant_components,worst_component_class,largest_component_score,dominance_reason,rule_level_contributors,n_rules_fired
2026-07-15 22:15:00+03:00,15,OK,73.28129395561348,Degraded,M,M,Degraded,73.28129395561348,unique_max_firing_rule,M,4
2026-07-15 22:20:00+03:00,15,OK,76.16670781893055,Critical,M,M,Critical,76.16670781893055,unique_max_firing_rule,M,2
2026-07-15 22:25:00+03:00,15,OK,87.35121916643038,Critical,M,M,Critical,87.55597014925372,unique_max_firing_rule,M,2
2026-07-15 22:30:00+03:00,15,OK,87.32870512427125,Critical,M,M,Critical,87.55597014925372,unique_max_firing_rule,M,2
2026-07-15 22:35:00+03:00,15,PARTIAL,74.04600420869603,Degraded,M,M,Degraded,74.04600420869603,unique_max_firing_rule,M,2
2026-07-15 22:40:00+03:00,15,PARTIAL,72.49665534206137,Degraded,M,M,Degraded,72.49665534206137,unique_max_firing_rule,M,2
2026-07-15 22:45:00+03:00,15,PARTIAL,71.48402413976099,Degraded,M,M,Degraded,71.48402413976099,unique_max_firing_rule,M,2
2026-07-15 22:50:00+03:00,15,PARTIAL,70.25548814092926,Degraded,M,M,Degraded,70.25548814092926,unique_max_firing_rule,M,2
2026-07-15 22:55:00+03:00,15,PARTIAL,69.4022742058524,Degraded,M,M,Degraded,69.4022742058524,unique_max_firing_rule,M,2
2026-07-15 23:00:00+03:00,15,PARTIAL,68.14052668471979,Degraded,M,M,Degraded,68.14052668471979,unique_max_firing_rule,M,2
2026-07-15 23:05:00+03:00,15,PARTIAL,67.30671343414997,Degraded,M,M,Degraded,67.30671343414997,unique_max_firing_rule,M,2
2026-07-15 23:10:00+03:00,15,PARTIAL,66.24155904196584,Degraded,M,M,Degraded,66.24155904196584,unique_max_firing_rule,M,2
2026-07-15 23:15:00+03:00,15,PARTIAL,65.63400973729854,Degraded,M,M,Degraded,65.63400973729854,unique_max_firing_rule,M,2
