day,n_samples,pct_of_expected,fully_complete
2026-06-18,2831,98.3,False
2026-06-19,2875,99.83,True
2026-06-20,2880,100.0,True
2026-06-21,2880,100.0,True
2026-06-22,2862,99.38,True
2026-06-23,2880,100.0,True
2026-06-24,2880,100.0,True
2026-06-25,2484,86.25,False
2026-06-26,2844,98.75,False
2026-06-27,2880,100.0,True
2026-06-28,2880,100.0,True
2026-06-29,2874,99.79,True
2026-06-30,2880,100.0,True
2026-07-01,2815,97.74,False
2026-07-02,2880,100.0,True
2026-07-03,2880,100.0,True
2026-07-04,2876,99.86,True
2026-07-05,2880,100.0,True
2026-07-06,2880,100.0,True
2026-07-07,2880,100.0,True
2026-07-08,2880,100.0,True
2026-07-09,2880,100.0,True
2026-07-10,2880,100.0,True
2026-07-11,2880,100.0,True
2026-07-12,2880,100.0,True
2026-07-13,2880,100.0,True
2026-07-14,2880,100.0,True
2026-07-15,2880,100.0,True
2026-07-16,2880,100.0,True
2026-07-17,2880,100.0,True
2026-07-18,2880,100.0,True
2026-07-19,2880,100.0,True
2026-07-20,2880,100.0,True
2026-07-21,2880,100.0,True
2026-07-22,2880,100.0,True
2026-07-23,2880,100.0,True
2026-07-24,2880,100.0,True
2026-07-25,2880,100.0,True
2026-07-26,2880,100.0,True
2026-07-27,2879,99.97,True
2026-07-28,2880,100.0,True
2026-07-29,2880,100.0,True
2026-07-30,2880,100.0,True
2026-07-31,2871,99.69,True
2026-08-01,2880,100.0,True
2026-08-02,2880,100.0,True
2026-08-03,2880,100.0,True
2026-08-04,2880,100.0,True
2026-08-05,2880,100.0,True
2026-08-06,2880,100.0,True
2026-08-07,2880,100.0,True
2026-08-08,2880,100.0,True
2026-08-09,2880,100.0,True
2026-08-10,2880,100.0,True
2026-08-11,2880,100.0,True
2026-08-12,2880,100.0,True
2026-08-13,2880,100.0,True
2026-08-14,2880,100.0,True
2026-08-15,2880,100.0,True
2026-08-16,2880,100.0,True
2026-08-17,2879,99.97,True
2026-08-18,1812,62.92,False
2026-08-19,2880,100.0,True
2026-08-20,2880,100.0,True
2026-08-21,2880,100.0,True
2026-08-22,2880,100.0,True
2026-08-23,2880,100.0,True
2026-08-24,2880,100.0,True
2026-08-25,2880,100.0,True
2026-08-26,2880,100.0,True
2026-08-27,2880,100.0,True
2026-08-28,2880,100.0,True
2026-08-29,2880,100.0,True
2026-08-30,2880,100.0,True
2026-08-31,2880,100.0,True
2026-09-01,2880,100.0,True
2026-09-02,2880,100.0,True
2026-09-03,2880,100.0,True
2026-09-04,2880,100.0,True
2026-09-05,2880,100.0,True
2026-09-06,2880,100.0,True
2026-09-07,2880,100.0,True
2026-09-08,2880,100.0,True
2026-09-09,2880,100.0,True
2026-09-10,2880,100.0,True
2026-09-11,2880,100.0,True
2026-09-12,2880,100.0,True
2026-09-13,535,18.58,False
2026-09-14,36,1.25,False
2026-09-15,2880,100.0,True
2026-09-16,2880,100.0,True
2026-09-17,2880,100.0,True
2026-09-18,2880,100.0,True
2026-09-19,2880,100.0,True
