channel,label,in_paper_scope,n_valid,n_missing,coverage_pct,missing_pct,min,max,mean,std,distinct_values,flatline_runs_ge_5,longest_flatline_run
scd_temp_c,Temperature (SCD41),True,291899,12211,95.9847,4.0153,18.2537841796875,129.99732971191406,24.355254184240057,2.6139927233835776,5100,5,6
bme_temp_c,Temperature (BME688),True,293002,11108,96.3474,3.6526,19.01,192.61,25.411713435403172,2.755208193179508,1425,11045,132
scd_humidity_pct,Relative humidity (SCD41),True,291899,12211,95.9847,4.0153,23.64959716796875,99.99847412109375,49.18041352811206,7.582153531763259,26671,0,4
bme_humidity_pct,Relative humidity (BME688),True,293002,11108,96.3474,3.6526,17.371,100.0,42.695536409307785,7.296987953696987,36104,23,8
co2_ppm,CO2 (SCD41),True,291899,12211,95.9847,4.0153,204.0,65535.0,677.3270137958677,329.79798577218975,1709,107,7
mass_pm2_5,PM2.5 (SPS30),True,299602,4508,98.5176,1.4824,0.5059760212898254,28723.068359375,291.4112776707627,1767.6489446047,297931,0,1
mass_pm10,PM10 (SPS30),True,299602,4508,98.5176,1.4824,0.5305046439170837,48110.86328125,292.4468401230296,1771.4837651342423,297940,0,1
gas_resistance_ohm,Gas-sensor resistance (BME688),True,34060,270050,11.1999,88.8001,32283743.842364535,102400000.0,84433853.09813401,23236206.722702295,1046,3,15171
pressure_hpa,Barometric pressure (BME688),True,293002,11108,96.3474,3.6526,-237.19,1242.34,978.6625581395349,18.842850651903404,2613,2273,22
mass_pm1_0,mass_pm1_0,False,299602,4508,98.5176,1.4824,0.45125454664230347,14026.3759765625,277.084747820298,1683.6951021592818,297916,0,1
mass_pm4_0,mass_pm4_0,False,299602,4508,98.5176,1.4824,0.5272791385650635,41638.26171875,292.10138005881544,1770.0320843086283,297906,0,2
number_pm0_5,number_pm0_5,False,299602,4508,98.5176,1.4824,2.9419407844543457,94492.1484375,1864.5957231418975,11339.532349447665,298007,0,1
number_pm1_0,number_pm1_0,False,299602,4508,98.5176,1.4824,3.488898515701294,109698.1171875,2166.192701318292,13166.5189235632,297904,0,1
number_pm2_5,number_pm2_5,False,299602,4508,98.5176,1.4824,3.54314923286438,110183.6484375,2176.5934738081605,13226.139979554147,297933,0,1
number_pm4_0,number_pm4_0,False,299602,4508,98.5176,1.4824,3.5510261058807373,110206.7265625,2177.19898035882,13229.17237672515,297952,0,1
number_pm10,number_pm10,False,299602,4508,98.5176,1.4824,3.553211212158203,110225.9296875,2177.611134086256,13231.53528403568,297927,0,1
typical_size_um,typical_size_um,False,299602,4508,98.5176,1.4824,0.28000009059906006,1.5375655889511108,0.5103300690456769,0.05474471188684026,258145,0,2
