start_ts,end_ts,duration_samples,duration_minutes,triggering_channels,peak_score
2026-06-17 21:23:36.766021+00:00,2026-06-17 21:25:36.766349+00:00,5,2.5,pressure_hpa,3.1195197625786535
2026-06-18 00:52:06.800466+00:00,2026-06-18 00:55:06.800949+00:00,7,3.5,pressure_hpa,5.395926075751417
2026-06-18 04:01:34.059663+00:00,2026-06-18 04:03:04.059919+00:00,4,2.0,pressure_hpa,3.37245379736764
2026-06-18 11:29:45.984633+00:00,2026-06-18 11:39:45.986272+00:00,21,10.5,co2_ppm,9.057447341542849
2026-06-18 12:52:15.998055+00:00,2026-06-18 12:54:15.998380+00:00,5,2.5,pressure_hpa,4.384189936601703
2026-06-18 21:18:12.766108+00:00,2026-06-18 21:20:11.482043+00:00,5,2.5,pressure_hpa,4.046944556863405
2026-06-19 13:53:42.901650+00:00,2026-06-19 14:01:12.902850+00:00,16,8.0,pressure_hpa,6.744907594771065
2026-06-19 18:51:42.950024+00:00,2026-06-19 18:53:12.950268+00:00,4,2.0,co2_ppm,4.181842708754891
2026-06-19 18:54:12.950432+00:00,2026-06-19 19:06:12.952391+00:00,25,12.5,co2_ppm,7.01470389855659
2026-06-20 03:29:43.034085+00:00,2026-06-20 03:31:13.034344+00:00,4,2.0,pressure_hpa,5.39592607582043
2026-06-20 13:10:13.127638+00:00,2026-06-20 13:11:43.127872+00:00,4,2.0,co2_ppm,3.4848689239624084
2026-06-20 13:12:43.128031+00:00,2026-06-20 13:41:43.132707+00:00,59,29.5,co2_ppm,7.149602050451909
2026-06-21 02:20:43.255719+00:00,2026-06-21 02:22:13.255954+00:00,4,2.0,pressure_hpa,3.7096991771251075
2026-06-21 02:23:43.256195+00:00,2026-06-21 02:30:43.257322+00:00,15,7.5,pressure_hpa,5.058680696078298
2026-06-21 07:57:13.309897+00:00,2026-06-21 08:07:13.311501+00:00,21,10.5,co2_ppm,8.993210126354603
2026-06-21 09:17:13.322845+00:00,2026-06-21 09:19:13.323167+00:00,5,2.5,co2_ppm,4.046944556859572
2026-06-21 13:50:13.367078+00:00,2026-06-21 13:52:43.367495+00:00,6,3.0,pressure_hpa,4.721435316313162
2026-06-22 03:06:43.500390+00:00,2026-06-22 03:12:43.501385+00:00,13,6.5,co2_ppm,5.058680696074464
2026-06-22 03:25:43.503522+00:00,2026-06-22 03:28:13.503932+00:00,6,3.0,co2_ppm,3.5410764872521248
2026-06-22 03:29:13.504094+00:00,2026-06-22 03:35:13.505088+00:00,13,6.5,co2_ppm,4.890058006205315
2026-06-22 03:37:43.505499+00:00,2026-06-22 03:39:43.505824+00:00,5,2.5,co2_ppm,3.5410764872521248
2026-06-22 08:16:13.551155+00:00,2026-06-22 08:27:13.552947+00:00,23,11.5,"mass_pm10,mass_pm2_5",22.602244699729482
2026-06-22 09:15:13.560772+00:00,2026-06-22 09:35:13.564032+00:00,41,20.5,"co2_ppm,mass_pm10,mass_pm2_5",39.46158190611443
2026-06-22 09:37:13.564354+00:00,2026-06-22 09:38:43.564606+00:00,4,2.0,mass_pm2_5,3.9447247743217693
2026-06-22 11:44:24.703521+00:00,2026-06-22 11:49:54.704448+00:00,12,6.0,co2_ppm,5.772847382579094
2026-06-22 12:16:07.005820+00:00,2026-06-22 12:36:51.363423+00:00,25,12.5,co2_ppm,10.579495047900952
2026-06-22 14:35:21.382657+00:00,2026-06-22 14:39:21.383295+00:00,9,4.5,pressure_hpa,3.878321866983234
2026-06-22 14:40:21.383467+00:00,2026-06-22 14:46:51.384521+00:00,14,7.0,pressure_hpa,3.70969917712383
2026-06-22 17:41:51.412936+00:00,2026-06-22 17:52:51.414730+00:00,23,11.5,"co2_ppm,mass_pm10,mass_pm2_5",7.11962468336406
2026-06-22 18:17:21.418660+00:00,2026-06-22 18:25:51.420029+00:00,18,9.0,co2_ppm,4.196831392298814
2026-06-22 18:52:51.424341+00:00,2026-06-22 19:00:51.425647+00:00,17,8.5,"mass_pm10,mass_pm2_5",7.0467374566365235
2026-06-22 21:42:51.451759+00:00,2026-06-22 21:44:51.452080+00:00,5,2.5,pressure_hpa,3.8783218669942565
2026-06-22 21:45:51.452245+00:00,2026-06-22 21:48:21.452586+00:00,6,3.0,pressure_hpa,3.541076487255959
2026-06-22 21:54:51.453639+00:00,2026-06-22 21:56:51.453955+00:00,5,2.5,co2_ppm,3.22792006320942
2026-06-23 05:12:51.524677+00:00,2026-06-23 05:49:51.530741+00:00,75,37.5,co2_ppm,13.658437879401053
2026-06-23 07:33:21.547522+00:00,2026-06-23 08:01:51.552301+00:00,58,29.0,"co2_ppm,mass_pm10,mass_pm2_5",46.52303069561436
2026-06-23 08:50:21.560183+00:00,2026-06-23 08:52:51.560584+00:00,6,3.0,co2_ppm,3.439902873330636
2026-06-23 09:11:51.563659+00:00,2026-06-23 09:20:51.565115+00:00,19,9.5,co2_ppm,4.336012025206683
2026-06-23 10:32:51.576774+00:00,2026-06-23 10:36:51.577422+00:00,9,4.5,pressure_hpa,4.046944556840401
2026-06-23 11:02:21.581552+00:00,2026-06-23 11:04:21.581868+00:00,5,2.5,pressure_hpa,4.721435316313162
2026-06-23 15:47:21.627696+00:00,2026-06-23 15:51:21.628349+00:00,9,4.5,pressure_hpa,4.316740860654811
2026-06-23 15:53:21.628678+00:00,2026-06-23 16:02:21.630139+00:00,19,9.5,co2_ppm,3.7096991771251075
2026-06-23 17:19:21.642623+00:00,2026-06-23 17:39:51.645938+00:00,42,21.0,co2_ppm,6.359484303636469
2026-06-23 19:38:21.665018+00:00,2026-06-23 20:06:51.669605+00:00,58,29.0,"co2_ppm,mass_pm10,mass_pm2_5",590.805094019927
2026-06-23 20:14:21.670822+00:00,2026-06-23 20:28:21.673097+00:00,29,14.5,"mass_pm10,mass_pm2_5",164.35395558078028
2026-06-23 20:29:21.673261+00:00,2026-06-23 20:30:51.673498+00:00,4,2.0,"mass_pm10,mass_pm2_5",145.70603616691315
2026-06-23 20:31:51.673658+00:00,2026-06-23 20:40:51.675130+00:00,19,9.5,"mass_pm10,mass_pm2_5",218.19538341963255
2026-06-23 21:00:21.678292+00:00,2026-06-23 21:10:21.680802+00:00,21,10.5,co2_ppm,4.327982373308152
2026-06-23 21:19:51.682365+00:00,2026-06-23 21:23:21.682912+00:00,8,4.0,co2_ppm,3.7096991771212733
2026-06-24 04:31:21.752430+00:00,2026-06-24 05:12:51.761590+00:00,84,42.0,co2_ppm,16.66955734135014
2026-06-24 09:15:51.802088+00:00,2026-06-24 09:33:51.805045+00:00,37,18.5,"co2_ppm,mass_pm10,mass_pm2_5",4.857198621146809
2026-06-24 12:55:51.837927+00:00,2026-06-24 12:59:51.838577+00:00,9,4.5,co2_ppm,4.046944556859572
2026-06-24 13:12:21.840613+00:00,2026-06-24 13:27:51.843136+00:00,32,16.0,co2_ppm,5.530824227708081
2026-06-24 17:52:21.886162+00:00,2026-06-24 17:56:51.886901+00:00,10,5.0,pressure_hpa,4.046944556862128
2026-06-24 20:46:21.914430+00:00,2026-06-24 20:49:51.915003+00:00,8,4.0,co2_ppm,3.812339075302495
2026-06-24 23:32:21.941400+00:00,2026-06-24 23:36:51.942133+00:00,10,5.0,co2_ppm,4.271774810018436
2026-06-25 05:39:18.612150+00:00,2026-06-25 06:25:18.619771+00:00,93,46.5,"co2_ppm,mass_pm10,mass_pm2_5",961.9186874144851
2026-06-25 07:13:48.627689+00:00,2026-06-25 07:18:18.628443+00:00,10,5.0,pressure_hpa,4.384189936601703
2026-06-25 15:02:48.704732+00:00,2026-06-25 15:10:18.705973+00:00,16,8.0,co2_ppm,4.568141961909668
2026-06-25 15:14:48.706699+00:00,2026-06-25 15:17:48.707192+00:00,7,3.5,"mass_pm10,mass_pm2_5",185.93058852974357
2026-06-25 15:20:48.707694+00:00,2026-06-25 15:23:18.708099+00:00,6,3.0,"mass_pm10,mass_pm2_5",821.7186180807356
2026-06-25 15:26:48.708687+00:00,2026-06-25 15:29:18.709094+00:00,6,3.0,"mass_pm10,mass_pm2_5",831.2345484942862
2026-06-25 15:30:18.709258+00:00,2026-06-25 15:33:48.709842+00:00,8,4.0,"mass_pm10,mass_pm2_5",575.4657486012626
2026-06-25 15:36:18.710256+00:00,2026-06-25 15:37:48.710510+00:00,4,2.0,"mass_pm10,mass_pm2_5",187.97357582956658
2026-06-25 15:38:48.710672+00:00,2026-06-25 15:40:48.711004+00:00,5,2.5,"mass_pm10,mass_pm2_5",1123.5571515906797
2026-06-25 15:42:48.711332+00:00,2026-06-25 15:45:48.711818+00:00,7,3.5,"mass_pm10,mass_pm2_5",212.63452678432677
2026-06-25 16:40:48.720830+00:00,2026-06-25 16:45:48.721657+00:00,11,5.5,"mass_pm10,mass_pm2_5",10.523771524821937
2026-06-25 21:30:18.768538+00:00,2026-06-25 21:33:18.769045+00:00,7,3.5,co2_ppm,3.5223406328222193
2026-06-25 21:35:48.769450+00:00,2026-06-25 21:38:48.769943+00:00,7,3.5,co2_ppm,4.299878591663295
2026-06-26 00:36:18.799023+00:00,2026-06-26 00:38:48.799434+00:00,6,3.0,co2_ppm,4.046944556859572
2026-06-26 04:15:16.441620+00:00,2026-06-26 04:16:46.441872+00:00,4,2.0,co2_ppm,4.271774810018436
2026-06-26 12:15:46.524310+00:00,2026-06-26 12:44:16.531624+00:00,58,29.0,"co2_ppm,mass_pm10,mass_pm2_5",747.5207140241579
2026-06-26 12:46:16.531936+00:00,2026-06-26 12:50:16.532623+00:00,9,4.5,"mass_pm10,mass_pm2_5",1725.135820216132
2026-06-26 12:51:16.532764+00:00,2026-06-26 12:53:16.533104+00:00,5,2.5,"mass_pm10,mass_pm2_5",184.16651435541016
2026-06-26 12:58:46.534024+00:00,2026-06-26 13:00:16.534255+00:00,4,2.0,"mass_pm10,mass_pm2_5",145.30161084029535
2026-06-26 13:01:16.534524+00:00,2026-06-26 13:04:16.535013+00:00,7,3.5,"mass_pm10,mass_pm2_5",202.87890705322314
2026-06-26 13:40:16.540933+00:00,2026-06-26 13:41:46.541184+00:00,4,2.0,co2_ppm,3.3724537973829762
2026-06-26 17:29:46.578541+00:00,2026-06-26 17:33:46.579190+00:00,9,4.5,"mass_pm10,mass_pm2_5",46.52301635758454
2026-06-26 19:51:16.603010+00:00,2026-06-26 20:11:16.606320+00:00,41,20.5,"co2_ppm,mass_pm10,mass_pm2_5",768.4912050865978
2026-06-26 20:12:46.606556+00:00,2026-06-26 20:19:16.607648+00:00,14,7.0,"mass_pm10,mass_pm2_5",363.17620338548005
2026-06-26 20:21:16.607991+00:00,2026-06-26 20:23:46.608393+00:00,6,3.0,"mass_pm10,mass_pm2_5",537.3720169708913
2026-06-26 20:24:46.608563+00:00,2026-06-26 20:26:46.608890+00:00,5,2.5,"mass_pm10,mass_pm2_5",58.760065336562306
2026-06-26 21:04:16.621168+00:00,2026-06-26 21:07:46.621724+00:00,8,4.0,pressure_hpa,3.541076487254681
2026-06-26 21:08:46.621898+00:00,2026-06-26 21:11:16.622317+00:00,6,3.0,pressure_hpa,3.912046404959958
2026-06-26 21:12:16.622487+00:00,2026-06-26 21:14:16.622803+00:00,5,2.5,pressure_hpa,3.7771482530735345
2026-06-26 21:17:46.623609+00:00,2026-06-26 21:23:16.624529+00:00,12,6.0,pressure_hpa,3.878321866983234
2026-06-27 03:02:16.681490+00:00,2026-06-27 03:04:16.681823+00:00,5,2.5,pressure_hpa,3.37245379736764
2026-06-27 03:07:46.682390+00:00,2026-06-27 03:12:16.683117+00:00,10,5.0,pressure_hpa,5.3959260757859235
2026-06-27 03:14:46.683539+00:00,2026-06-27 03:16:16.683763+00:00,4,2.0,pressure_hpa,3.37245379738681
2026-06-27 05:16:16.707402+00:00,2026-06-27 05:17:46.707660+00:00,4,2.0,co2_ppm,3.7096991771212737
2026-06-27 08:38:46.741057+00:00,2026-06-27 08:41:46.741543+00:00,7,3.5,co2_ppm,4.046944556859571
2026-06-27 10:23:46.759443+00:00,2026-06-27 10:30:46.760610+00:00,15,7.5,co2_ppm,5.058680696074464
2026-06-27 14:57:46.808659+00:00,2026-06-27 15:02:16.809388+00:00,10,5.0,co2_ppm,4.5608422783655485
2026-06-27 15:43:16.816105+00:00,2026-06-27 15:48:16.816931+00:00,11,5.5,co2_ppm,4.286566274042046
2026-06-27 15:49:16.817096+00:00,2026-06-27 16:01:16.819067+00:00,25,12.5,co2_ppm,30.43789325511636
2026-06-27 16:02:46.819317+00:00,2026-06-27 16:05:16.819722+00:00,6,3.0,"mass_pm10,mass_pm2_5",41.09715855241736
2026-06-27 16:08:46.820311+00:00,2026-06-27 16:12:46.820967+00:00,9,4.5,"mass_pm10,mass_pm2_5",244.48999670271905
2026-06-27 16:13:46.821131+00:00,2026-06-27 16:15:16.821537+00:00,4,2.0,"mass_pm10,mass_pm2_5",132.6183150542365
2026-06-27 16:25:46.823301+00:00,2026-06-27 16:27:16.823561+00:00,4,2.0,"mass_pm10,mass_pm2_5",79.66792633760477
2026-06-27 16:55:16.830054+00:00,2026-06-27 16:57:46.830473+00:00,6,3.0,"mass_pm10,mass_pm2_5",62.039795696075245
2026-06-27 16:58:46.830607+00:00,2026-06-27 17:08:16.832210+00:00,20,10.0,"mass_pm10,mass_pm2_5",47.218840466899216
2026-06-27 17:21:16.834356+00:00,2026-06-27 17:23:16.834694+00:00,5,2.5,"mass_pm10,mass_pm2_5",57.57285268713739
