day,split
2026-06-18,train
2026-06-19,test
2026-06-20,train
2026-06-21,train
2026-06-22,test
2026-06-23,train
2026-06-24,train
2026-06-25,train
2026-06-26,test
2026-06-27,train
2026-06-28,train
2026-06-29,test
2026-06-30,train
2026-07-01,test
2026-07-02,train
2026-07-03,train
2026-07-04,test
2026-07-05,train
2026-07-06,train
2026-07-07,train
2026-07-08,train
2026-07-09,train
2026-07-10,test
2026-07-11,train
2026-07-12,test
2026-07-13,train
2026-07-14,train
2026-07-15,test
2026-07-16,test
2026-07-17,train
2026-07-18,train
2026-07-19,train
2026-07-20,test
2026-07-21,train
2026-07-22,train
2026-07-23,test
2026-07-24,train
2026-07-25,train
2026-07-26,test
2026-07-27,train
2026-07-28,train
2026-07-29,train
2026-07-30,train
2026-07-31,train
2026-08-01,test
2026-08-02,train
2026-08-03,test
2026-08-04,train
2026-08-05,test
2026-08-06,train
2026-08-07,train
2026-08-08,train
2026-08-09,train
2026-08-10,train
2026-08-11,train
2026-08-12,test
2026-08-13,train
2026-08-14,train
2026-08-15,train
2026-08-16,train
2026-08-17,test
2026-08-18,train
2026-08-19,train
2026-08-20,test
2026-08-21,train
2026-08-22,train
2026-08-23,train
2026-08-24,test
2026-08-25,train
2026-08-26,test
2026-08-27,train
2026-08-28,train
2026-08-29,test
2026-08-30,train
2026-08-31,train
2026-09-01,train
2026-09-02,train
2026-09-03,train
2026-09-04,train
2026-09-05,test
2026-09-06,test
2026-09-07,test
2026-09-08,train
2026-09-09,train
2026-09-10,train
2026-09-11,test
2026-09-12,train
2026-09-13,excluded
2026-09-14,excluded
2026-09-15,train
2026-09-16,train
2026-09-17,train
2026-09-18,train
2026-09-19,test
