pair,window,feature_set,method,n_test,macro_f1
temperature,5,n/a,baseline_single_channel_rule,70527,0.49509207180434167
temperature,5,n/a,baseline_one_out_of_two_comparator,70527,0.5053267279519198
temperature,5,a_single_only,logistic_regression,70527,0.4710258504666796
temperature,5,a_single_only,decision_tree,70527,0.7014580637226598
temperature,5,a_single_only,random_forest,70527,0.7248397815252889
temperature,5,b_single_plus_cross,logistic_regression,70527,0.5343050688801235
temperature,5,b_single_plus_cross,decision_tree,70527,0.7138567612242299
temperature,5,b_single_plus_cross,random_forest,70527,0.7152909081163146
temperature,5,c_plus_ah,logistic_regression,70527,0.5396108808383563
temperature,5,c_plus_ah,decision_tree,70527,0.7044259994502544
temperature,5,c_plus_ah,random_forest,70527,0.7128642450955598
temperature,5,d_cross_only,logistic_regression,70527,0.532341748239654
temperature,5,d_cross_only,decision_tree,70527,0.5782529233496113
temperature,5,d_cross_only,random_forest,70527,0.5810625933953195
temperature,10,n/a,baseline_single_channel_rule,69684,0.4832996193397334
temperature,10,n/a,baseline_one_out_of_two_comparator,69684,0.5046823135653428
temperature,10,a_single_only,logistic_regression,69684,0.4706874287884542
temperature,10,a_single_only,decision_tree,69684,0.6684549916776081
temperature,10,a_single_only,random_forest,69684,0.6719757079232472
temperature,10,b_single_plus_cross,logistic_regression,69684,0.5183760175709877
temperature,10,b_single_plus_cross,decision_tree,69684,0.6561138354794118
temperature,10,b_single_plus_cross,random_forest,69684,0.6307011364355795
temperature,10,c_plus_ah,logistic_regression,69684,0.5273640061866363
temperature,10,c_plus_ah,decision_tree,69684,0.6655865297293455
temperature,10,c_plus_ah,random_forest,69684,0.6147993406170927
temperature,10,d_cross_only,logistic_regression,69684,0.5191048533292526
temperature,10,d_cross_only,decision_tree,69684,0.5692259365780346
temperature,10,d_cross_only,random_forest,69684,0.575551543654529
temperature,20,n/a,baseline_single_channel_rule,68521,0.4842985802957807
temperature,20,n/a,baseline_one_out_of_two_comparator,68521,0.5036769963849491
temperature,20,a_single_only,logistic_regression,68521,0.47062686382669694
temperature,20,a_single_only,decision_tree,68521,0.7147174198570372
temperature,20,a_single_only,random_forest,68521,0.6494106349329064
temperature,20,b_single_plus_cross,logistic_regression,68521,0.5340633278531794
temperature,20,b_single_plus_cross,decision_tree,68521,0.6558126401383897
temperature,20,b_single_plus_cross,random_forest,68521,0.6217009361992282
temperature,20,c_plus_ah,logistic_regression,68521,0.540621372150422
temperature,20,c_plus_ah,decision_tree,68521,0.6431226851739689
temperature,20,c_plus_ah,random_forest,68521,0.6096588669219658
temperature,20,d_cross_only,logistic_regression,68521,0.535651264172926
temperature,20,d_cross_only,decision_tree,68521,0.5828790816457587
temperature,20,d_cross_only,random_forest,68521,0.5937577523388515
humidity,5,n/a,baseline_single_channel_rule,70529,0.4930162238539751
humidity,5,n/a,baseline_one_out_of_two_comparator,70529,0.4824677483861444
humidity,5,a_single_only,logistic_regression,70529,0.4678043580236995
humidity,5,a_single_only,decision_tree,70529,0.665927032963261
humidity,5,a_single_only,random_forest,70529,0.6511918892185955
humidity,5,b_single_plus_cross,logistic_regression,70529,0.5600052682163592
humidity,5,b_single_plus_cross,decision_tree,70529,0.6545607172128318
humidity,5,b_single_plus_cross,random_forest,70529,0.6609357615055997
humidity,5,c_plus_ah,logistic_regression,70529,0.5631253145498551
humidity,5,c_plus_ah,decision_tree,70529,0.6578210089129771
humidity,5,c_plus_ah,random_forest,70529,0.6659074580729979
humidity,5,d_cross_only,logistic_regression,70529,0.5619893085721003
humidity,5,d_cross_only,decision_tree,70529,0.644729575825088
humidity,5,d_cross_only,random_forest,70529,0.6473785292563335
humidity,10,n/a,baseline_single_channel_rule,69715,0.4776640684126478
humidity,10,n/a,baseline_one_out_of_two_comparator,69715,0.4824771755830318
humidity,10,a_single_only,logistic_regression,69715,0.4674098193612647
humidity,10,a_single_only,decision_tree,69715,0.653571985753637
humidity,10,a_single_only,random_forest,69715,0.6356764536557401
humidity,10,b_single_plus_cross,logistic_regression,69715,0.5275066778296057
humidity,10,b_single_plus_cross,decision_tree,69715,0.6377611024044074
humidity,10,b_single_plus_cross,random_forest,69715,0.6455592643630419
humidity,10,c_plus_ah,logistic_regression,69715,0.5276021115407367
humidity,10,c_plus_ah,decision_tree,69715,0.6398766163233869
humidity,10,c_plus_ah,random_forest,69715,0.6542678986958836
humidity,10,d_cross_only,logistic_regression,69715,0.5292015275007831
humidity,10,d_cross_only,decision_tree,69715,0.6255414114167033
humidity,10,d_cross_only,random_forest,69715,0.6322962755147511
humidity,20,n/a,baseline_single_channel_rule,68521,0.47881577243342005
humidity,20,n/a,baseline_one_out_of_two_comparator,68521,0.48269288433522367
humidity,20,a_single_only,logistic_regression,68521,0.4670265274510943
humidity,20,a_single_only,decision_tree,68521,0.6205135057777005
humidity,20,a_single_only,random_forest,68521,0.6067316183545703
humidity,20,b_single_plus_cross,logistic_regression,68521,0.5213231613305715
humidity,20,b_single_plus_cross,decision_tree,68521,0.6177745944738627
humidity,20,b_single_plus_cross,random_forest,68521,0.6214150475788187
humidity,20,c_plus_ah,logistic_regression,68521,0.5226041924344871
humidity,20,c_plus_ah,decision_tree,68521,0.6208046911663105
humidity,20,c_plus_ah,random_forest,68521,0.6232901508990762
humidity,20,d_cross_only,logistic_regression,68521,0.5246151897321102
humidity,20,d_cross_only,decision_tree,68521,0.5986239305322589
humidity,20,d_cross_only,random_forest,68521,0.6027426587399044
