pair,window,feature_set,method,n_test,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_accuracy,balanced_accuracy_ci_lo,balanced_accuracy_ci_hi,fault_detection_recall,fault_recall_ci_lo,fault_recall_ci_hi,false_event_rate,event_level_recall,event_recall_ci_lo,event_recall_ci_hi,n_true_instances_test,gradual_shift_recall,n_gradual_shift_instances,gradual_shift_median_latency_s,gradual_shift_n_missed
temperature,5,n/a,baseline_single_channel_rule,70527,0.49509207180434167,0.4875288028162643,0.5012309155799856,0.49522873266632883,0.48774999846596634,0.501273566732263,0.09663325623233102,0.08442713556993474,0.10680506687589945,0.0916354556803995,0.8090909090909091,0.7545454545454545,0.8590909090909091,220,0.9245283018867925,53,240.000646,4
temperature,5,n/a,baseline_one_out_of_two_comparator,70527,0.5053267279519198,0.48708315690089815,0.5197453721951307,0.507457305527329,0.49546190007033136,0.5187932671985548,0.07324595219737856,0.04462966328298292,0.10872660845264613,0.11710362047440699,0.20454545454545456,0.1544318181818182,0.2590909090909091,220,0.16981132075471697,53,390.001056,44
temperature,5,a_single_only,logistic_regression,70527,0.4710258504666796,0.46696915735442507,0.4753076164472615,0.49946062783157563,0.4985419276087559,0.5003526824748122,0.0006425083526085839,0.0,0.0017817260844271534,0.0032459425717852684,0.00909090909090909,0.0,0.022840909090908988,220,0.0,53,,53
temperature,5,a_single_only,decision_tree,70527,0.7014580637226598,0.6590452597769849,0.7370759084624636,0.6477347026333719,0.6138144283571879,0.678413322220972,0.3010794140323824,0.2553814528716886,0.36640943575591894,0.016229712858926344,0.65,0.5909090909090909,0.7090909090909091,220,0.7169811320754716,53,30.0000895,15
temperature,5,a_single_only,random_forest,70527,0.7248397815252889,0.6825926547167654,0.7649165213135218,0.6720475136078754,0.635596387707906,0.7108968368033519,0.35427910562837317,0.29876161613293967,0.4228661772946027,0.015480649188514358,0.6363636363636364,0.5727272727272728,0.7,220,0.7169811320754716,53,75.00019850000001,15
temperature,5,b_single_plus_cross,logistic_regression,70527,0.5343050688801235,0.49630230292694555,0.5814690078687643,0.5322620170873122,0.5111925188471196,0.5611723023917127,0.07067591878694424,0.035317107134250854,0.11841471149658486,0.009238451935081148,0.15454545454545454,0.10909090909090909,0.20454545454545456,220,0.05660377358490566,53,870.002399,50
temperature,5,b_single_plus_cross,decision_tree,70527,0.7138567612242299,0.6669842415441846,0.7568298483840324,0.6636366630165188,0.6238408802161565,0.7048021639803185,0.33898740683628886,0.28660360272619595,0.4055811698437676,0.02372034956304619,0.6454545454545455,0.5818181818181818,0.7046590909090908,220,0.6792452830188679,53,30.0000875,17
temperature,5,b_single_plus_cross,random_forest,70527,0.7152909081163146,0.6732252924224622,0.7600389519290178,0.6639215355221564,0.6265674718533322,0.7041251195384032,0.338473400154202,0.285384579813237,0.40772568558155925,0.015730337078651686,0.6045454545454545,0.5409090909090909,0.6681818181818182,220,0.6981132075471698,53,90.000234,16
temperature,5,c_plus_ah,logistic_regression,70527,0.5396108808383563,0.5011152135038127,0.579568801381357,0.5352703754405321,0.5130401949101671,0.5596430609747872,0.07787201233616037,0.044211773674371804,0.12463375450072439,0.012484394506866416,0.2,0.14545454545454545,0.2590909090909091,220,0.07547169811320754,53,1080.0029909999998,49
temperature,5,c_plus_ah,decision_tree,70527,0.7044259994502544,0.6593654544999702,0.7502046401995689,0.6523144954123705,0.6168516953062797,0.6913142051873493,0.31277306604985866,0.25854622631015406,0.37341285894980625,0.024968789013732832,0.6727272727272727,0.6089772727272728,0.7272727272727273,220,0.6981132075471698,53,30.00009,16
temperature,5,c_plus_ah,random_forest,70527,0.7128642450955598,0.6680371783645509,0.7572189418379692,0.6573001083247886,0.6203786828002644,0.697341830936755,0.32022616294011824,0.2676898495282714,0.3873747457926666,0.01348314606741573,0.6,0.5363636363636364,0.6590909090909091,220,0.6792452830188679,53,90.000242,17
temperature,5,d_cross_only,logistic_regression,70527,0.532341748239654,0.489177488581128,0.5803987372616809,0.5313694296768388,0.508545213445976,0.559911633024584,0.0665638653302493,0.036581534190737224,0.11588995578415491,0.0032459425717852684,0.12272727272727273,0.08181818181818182,0.16818181818181818,220,0.05660377358490566,53,870.002399,50
temperature,5,d_cross_only,decision_tree,70527,0.5782529233496113,0.5461528918307852,0.6145090748207106,0.5593515485603298,0.539739729626729,0.5837716769055101,0.12888717553328194,0.09386890585769188,0.17779457131796214,0.03220973782771536,0.4818181818181818,0.41818181818181815,0.55,220,0.20754716981132076,53,960.002611,42
