dataset_split,window_size,mad_multiplier,fault_recall,genuine_event_preservation_rate,objective_score,selected
calibration,7,1.0,1.0,1.0,0.9915611814345991,False
calibration,7,2.0,1.0,1.0,1.0,False
calibration,7,3.0,1.0,1.0,1.0,False
calibration,11,1.0,1.0,1.0,0.9113924050632911,True
calibration,11,2.0,1.0,1.0,0.9578059071729959,False
calibration,11,3.0,1.0,1.0,1.0,False
calibration,15,1.0,1.0,1.0,1.0,False
calibration,15,2.0,1.0,1.0,1.0,False
calibration,15,3.0,1.0,1.0,1.0,False
validation,7,1.0,1.0,1.0,1.0,False
validation,7,2.0,1.0,1.0,1.0,False
validation,7,3.0,1.0,1.0,1.0,False
validation,11,1.0,1.0,1.0,0.8987341772151899,True
validation,11,2.0,1.0,1.0,0.9535864978902954,False
validation,11,3.0,1.0,1.0,1.0,False
validation,15,1.0,1.0,1.0,1.0,False
validation,15,2.0,1.0,1.0,1.0,False
validation,15,3.0,1.0,1.0,1.0,False
