computed_ts,window_minutes,completeness_status,index_value,index_class,dominant_component,co_dominant_components,worst_component_class,largest_component_score,dominance_reason,rule_level_contributors,n_rules_fired
2026-07-15 03:05:00+03:00,15,PARTIAL,12.444029850746269,Favorable,A,A;V,Favorable,12.444029850746269,co_dominant_tie,A;V,1
2026-07-15 03:10:00+03:00,15,PARTIAL,12.444029850746269,Favorable,A,A;V,Favorable,12.444029850746269,co_dominant_tie,A;V,1
2026-07-15 03:15:00+03:00,15,PARTIAL,12.444029850746269,Favorable,A,A;V,Favorable,12.444029850746269,co_dominant_tie,A;V,1
2026-07-15 03:20:00+03:00,15,PARTIAL,12.444029850746269,Favorable,A,A;V,Favorable,12.444029850746269,co_dominant_tie,A;V,1
2026-07-15 03:25:00+03:00,15,PARTIAL,12.444029850746269,Favorable,A,A;V,Favorable,12.444029850746269,co_dominant_tie,A;V,1
2026-07-15 03:30:00+03:00,15,PARTIAL,13.03474872482593,Favorable,A,A,Favorable,13.03474872482593,unique_max_firing_rule,A,2
2026-07-15 03:35:00+03:00,15,PARTIAL,13.562427556433054,Favorable,A,A,Favorable,13.562427556433054,unique_max_firing_rule,A,2
2026-07-15 03:40:00+03:00,15,PARTIAL,13.369674351684273,Favorable,A,A,Favorable,13.369674351684273,unique_max_firing_rule,A,2
2026-07-15 03:45:00+03:00,15,PARTIAL,12.827906187805484,Favorable,A,A,Favorable,12.827906187805484,unique_max_firing_rule,A,2
2026-07-15 03:50:00+03:00,15,PARTIAL,12.75962214390601,Favorable,A,A,Favorable,12.75962214390601,unique_max_firing_rule,A,2
2026-07-15 03:55:00+03:00,15,PARTIAL,12.642906209763916,Favorable,A,A,Favorable,12.642906209763916,unique_max_firing_rule,A,2
2026-07-15 04:00:00+03:00,15,PARTIAL,12.797863772888302,Favorable,A,A,Favorable,12.797863772888302,unique_max_firing_rule,A,2
2026-07-15 04:05:00+03:00,15,PARTIAL,12.911524404731106,Favorable,A,A,Favorable,12.911524404731106,unique_max_firing_rule,A,2
2026-07-15 04:10:00+03:00,15,PARTIAL,13.890899147479335,Favorable,A,A,Favorable,13.890899147479335,unique_max_firing_rule,A,2
2026-07-15 04:15:00+03:00,15,PARTIAL,13.737859043564072,Favorable,A,A,Favorable,13.737859043564072,unique_max_firing_rule,A,2
2026-07-15 04:20:00+03:00,15,PARTIAL,13.237563153787715,Favorable,A,A,Favorable,13.237563153787715,unique_max_firing_rule,A,2
2026-07-15 04:25:00+03:00,15,PARTIAL,13.668794506686487,Favorable,A,A,Favorable,13.668794506686487,unique_max_firing_rule,A,2
2026-07-15 04:30:00+03:00,15,PARTIAL,14.244898900700878,Favorable,A,A,Favorable,14.244898900700878,unique_max_firing_rule,A,2
2026-07-15 04:35:00+03:00,15,PARTIAL,15.655631756329552,Favorable,A,A,Favorable,15.655631756329552,unique_max_firing_rule,A,2
2026-07-15 04:40:00+03:00,15,PARTIAL,15.287530247259419,Favorable,A,A,Favorable,15.287530247259419,unique_max_firing_rule,A,2
2026-07-15 04:45:00+03:00,15,PARTIAL,14.730874836953525,Favorable,A,A,Favorable,14.730874836953525,unique_max_firing_rule,A,2
