a,v,m,hfis_index_value,hfis_index_class,fuzzy_component_max_index_value,fuzzy_component_max_index_class,crisp_class_max_index_value,crisp_class_max_index_class,weighted_mean_index_value,weighted_mean_index_class
0.0,0.0,0.0,12.444029850746269,Favourable,0.0,Favourable,12.5,Favourable,0.0,Favourable
0.0,0.0,10.0,12.444029850746269,Favourable,10.0,Favourable,12.5,Favourable,3.3333333333333335,Favourable
0.0,0.0,20.0,12.444029850746269,Favourable,20.0,Favourable,12.5,Favourable,6.666666666666667,Favourable
0.0,0.0,30.0,37.5,Acceptable,30.0,Acceptable,37.5,Acceptable,10.0,Favourable
0.0,0.0,40.0,37.5,Acceptable,40.0,Acceptable,37.5,Acceptable,13.333333333333334,Favourable
0.0,0.0,50.0,50.0,Degraded,50.0,Degraded,62.5,Degraded,16.666666666666668,Favourable
0.0,0.0,60.0,62.5,Degraded,60.0,Degraded,62.5,Degraded,20.0,Favourable
0.0,0.0,70.0,62.5,Degraded,70.0,Degraded,62.5,Degraded,23.333333333333332,Favourable
0.0,0.0,80.0,87.55597014925372,Critical,80.0,Critical,87.5,Critical,26.666666666666668,Acceptable
0.0,0.0,90.0,87.55597014925372,Critical,90.0,Critical,87.5,Critical,30.0,Acceptable
0.0,0.0,100.0,87.55597014925372,Critical,100.0,Critical,87.5,Critical,33.333333333333336,Acceptable
0.0,10.0,0.0,12.444029850746269,Favourable,10.0,Favourable,12.5,Favourable,3.3333333333333335,Favourable
0.0,10.0,10.0,12.444029850746269,Favourable,10.0,Favourable,12.5,Favourable,6.666666666666667,Favourable
0.0,10.0,20.0,12.444029850746269,Favourable,20.0,Favourable,12.5,Favourable,10.0,Favourable
0.0,10.0,30.0,37.5,Acceptable,30.0,Acceptable,37.5,Acceptable,13.333333333333334,Favourable
0.0,10.0,40.0,37.5,Acceptable,40.0,Acceptable,37.5,Acceptable,16.666666666666668,Favourable
0.0,10.0,50.0,50.0,Degraded,50.0,Degraded,62.5,Degraded,20.0,Favourable
0.0,10.0,60.0,62.5,Degraded,60.0,Degraded,62.5,Degraded,23.333333333333332,Favourable
0.0,10.0,70.0,62.5,Degraded,70.0,Degraded,62.5,Degraded,26.666666666666668,Acceptable
0.0,10.0,80.0,87.55597014925372,Critical,80.0,Critical,87.5,Critical,30.0,Acceptable
0.0,10.0,90.0,87.55597014925372,Critical,90.0,Critical,87.5,Critical,33.333333333333336,Acceptable
0.0,10.0,100.0,87.55597014925372,Critical,100.0,Critical,87.5,Critical,36.666666666666664,Acceptable
0.0,20.0,0.0,12.444029850746269,Favourable,20.0,Favourable,12.5,Favourable,6.666666666666667,Favourable
0.0,20.0,10.0,12.444029850746269,Favourable,20.0,Favourable,12.5,Favourable,10.0,Favourable
0.0,20.0,20.0,12.444029850746269,Favourable,20.0,Favourable,12.5,Favourable,13.333333333333334,Favourable
0.0,20.0,30.0,37.5,Acceptable,30.0,Acceptable,37.5,Acceptable,16.666666666666668,Favourable
0.0,20.0,40.0,37.5,Acceptable,40.0,Acceptable,37.5,Acceptable,20.0,Favourable
0.0,20.0,50.0,50.0,Degraded,50.0,Degraded,62.5,Degraded,23.333333333333332,Favourable
0.0,20.0,60.0,62.5,Degraded,60.0,Degraded,62.5,Degraded,26.666666666666668,Acceptable
0.0,20.0,70.0,62.5,Degraded,70.0,Degraded,62.5,Degraded,30.0,Acceptable
0.0,20.0,80.0,87.55597014925372,Critical,80.0,Critical,87.5,Critical,33.333333333333336,Acceptable
0.0,20.0,90.0,87.55597014925372,Critical,90.0,Critical,87.5,Critical,36.666666666666664,Acceptable
0.0,20.0,100.0,87.55597014925372,Critical,100.0,Critical,87.5,Critical,40.0,Acceptable
0.0,30.0,0.0,37.5,Acceptable,30.0,Acceptable,37.5,Acceptable,10.0,Favourable
0.0,30.0,10.0,37.5,Acceptable,30.0,Acceptable,37.5,Acceptable,13.333333333333334,Favourable
0.0,30.0,20.0,37.5,Acceptable,30.0,Acceptable,37.5,Acceptable,16.666666666666668,Favourable
0.0,30.0,30.0,37.5,Acceptable,30.0,Acceptable,37.5,Acceptable,20.0,Favourable
0.0,30.0,40.0,37.5,Acceptable,40.0,Acceptable,37.5,Acceptable,23.333333333333332,Favourable
0.0,30.0,50.0,50.0,Degraded,50.0,Degraded,62.5,Degraded,26.666666666666668,Acceptable
0.0,30.0,60.0,62.5,Degraded,60.0,Degraded,62.5,Degraded,30.0,Acceptable
0.0,30.0,70.0,62.5,Degraded,70.0,Degraded,62.5,Degraded,33.333333333333336,Acceptable
0.0,30.0,80.0,87.55597014925372,Critical,80.0,Critical,87.5,Critical,36.666666666666664,Acceptable
0.0,30.0,90.0,87.55597014925372,Critical,90.0,Critical,87.5,Critical,40.0,Acceptable
0.0,30.0,100.0,87.55597014925372,Critical,100.0,Critical,87.5,Critical,43.333333333333336,Acceptable
0.0,40.0,0.0,37.5,Acceptable,40.0,Acceptable,37.5,Acceptable,13.333333333333334,Favourable
0.0,40.0,10.0,37.5,Acceptable,40.0,Acceptable,37.5,Acceptable,16.666666666666668,Favourable
0.0,40.0,20.0,37.5,Acceptable,40.0,Acceptable,37.5,Acceptable,20.0,Favourable
0.0,40.0,30.0,37.5,Acceptable,40.0,Acceptable,37.5,Acceptable,23.333333333333332,Favourable
0.0,40.0,40.0,37.5,Acceptable,40.0,Acceptable,37.5,Acceptable,26.666666666666668,Acceptable
0.0,40.0,50.0,50.0,Degraded,50.0,Degraded,62.5,Degraded,30.0,Acceptable
0.0,40.0,60.0,62.5,Degraded,60.0,Degraded,62.5,Degraded,33.333333333333336,Acceptable
0.0,40.0,70.0,62.5,Degraded,70.0,Degraded,62.5,Degraded,36.666666666666664,Acceptable
0.0,40.0,80.0,87.55597014925372,Critical,80.0,Critical,87.5,Critical,40.0,Acceptable
0.0,40.0,90.0,87.55597014925372,Critical,90.0,Critical,87.5,Critical,43.333333333333336,Acceptable
