sample_id,computed_ts,stratum,reference_completeness_status,reference_index_class,reference_index_value,value,completeness_status,index_value,index_class
completeness_PARTIAL_2026-07-17T22:55:00+03:00,2026-07-17 22:55:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-24T09:15:00+03:00,2026-07-24 09:15:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-24T10:55:00+03:00,2026-07-24 10:55:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-25T00:40:00+03:00,2026-07-25 00:40:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-26T23:15:00+03:00,2026-07-26 23:15:00+03:00,completeness_PARTIAL,PARTIAL,Critical,87.55597014925372,0.7,PARTIAL,87.55597014925372,Critical
data_quality_event_2026-07-25T07:55:00+03:00,2026-07-25 07:55:00+03:00,data_quality_event,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
data_quality_event_2026-07-25T08:25:00+03:00,2026-07-25 08:25:00+03:00,data_quality_event,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
data_quality_event_2026-07-28T02:00:00+03:00,2026-07-28 02:00:00+03:00,data_quality_event,FAILED,,,0.7,FAILED,,
data_quality_event_2026-07-28T07:20:00+03:00,2026-07-28 07:20:00+03:00,data_quality_event,FAILED,,,0.7,FAILED,,
data_quality_event_2026-07-28T11:20:00+03:00,2026-07-28 11:20:00+03:00,data_quality_event,FAILED,,,0.7,FAILED,,
outdoor_context_fresh_2026-07-15T07:40:00+03:00,2026-07-15 07:40:00+03:00,outdoor_context_fresh,PARTIAL,Acceptable,37.49999999999999,0.7,PARTIAL,37.49999999999999,Acceptable
outdoor_context_fresh_2026-07-16T07:50:00+03:00,2026-07-16 07:50:00+03:00,outdoor_context_fresh,PARTIAL,Acceptable,29.780081953089567,0.7,PARTIAL,29.780081953089567,Acceptable
outdoor_context_fresh_2026-07-16T20:30:00+03:00,2026-07-16 20:30:00+03:00,outdoor_context_fresh,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
outdoor_context_fresh_2026-07-17T00:20:00+03:00,2026-07-17 00:20:00+03:00,outdoor_context_fresh,PARTIAL,Favorable,15.363923828380624,0.7,PARTIAL,15.363923828380624,Favorable
outdoor_context_fresh_2026-07-26T13:00:00+03:00,2026-07-26 13:00:00+03:00,outdoor_context_fresh,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
outdoor_context_stale_2026-07-23T22:20:00+03:00,2026-07-23 22:20:00+03:00,outdoor_context_stale,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
outdoor_context_stale_2026-07-25T01:25:00+03:00,2026-07-25 01:25:00+03:00,outdoor_context_stale,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
outdoor_context_stale_2026-07-25T02:25:00+03:00,2026-07-25 02:25:00+03:00,outdoor_context_stale,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
outdoor_context_stale_2026-07-25T03:30:00+03:00,2026-07-25 03:30:00+03:00,outdoor_context_stale,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
outdoor_context_stale_2026-07-25T19:45:00+03:00,2026-07-25 19:45:00+03:00,outdoor_context_stale,PARTIAL,Favorable,12.444029850746269,0.7,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-17T22:55:00+03:00,2026-07-17 22:55:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-24T09:15:00+03:00,2026-07-24 09:15:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-24T10:55:00+03:00,2026-07-24 10:55:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-25T00:40:00+03:00,2026-07-25 00:40:00+03:00,completeness_PARTIAL,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
completeness_PARTIAL_2026-07-26T23:15:00+03:00,2026-07-26 23:15:00+03:00,completeness_PARTIAL,PARTIAL,Critical,87.55597014925372,0.8,PARTIAL,87.55597014925372,Critical
data_quality_event_2026-07-25T07:55:00+03:00,2026-07-25 07:55:00+03:00,data_quality_event,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
data_quality_event_2026-07-25T08:25:00+03:00,2026-07-25 08:25:00+03:00,data_quality_event,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
data_quality_event_2026-07-28T02:00:00+03:00,2026-07-28 02:00:00+03:00,data_quality_event,FAILED,,,0.8,FAILED,,
data_quality_event_2026-07-28T07:20:00+03:00,2026-07-28 07:20:00+03:00,data_quality_event,FAILED,,,0.8,FAILED,,
data_quality_event_2026-07-28T11:20:00+03:00,2026-07-28 11:20:00+03:00,data_quality_event,FAILED,,,0.8,FAILED,,
outdoor_context_fresh_2026-07-15T07:40:00+03:00,2026-07-15 07:40:00+03:00,outdoor_context_fresh,PARTIAL,Acceptable,37.49999999999999,0.8,PARTIAL,37.49999999999999,Acceptable
outdoor_context_fresh_2026-07-16T07:50:00+03:00,2026-07-16 07:50:00+03:00,outdoor_context_fresh,PARTIAL,Acceptable,29.780081953089567,0.8,PARTIAL,29.780081953089567,Acceptable
outdoor_context_fresh_2026-07-16T20:30:00+03:00,2026-07-16 20:30:00+03:00,outdoor_context_fresh,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
outdoor_context_fresh_2026-07-17T00:20:00+03:00,2026-07-17 00:20:00+03:00,outdoor_context_fresh,PARTIAL,Favorable,15.363923828380624,0.8,PARTIAL,15.363923828380624,Favorable
outdoor_context_fresh_2026-07-26T13:00:00+03:00,2026-07-26 13:00:00+03:00,outdoor_context_fresh,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
outdoor_context_stale_2026-07-23T22:20:00+03:00,2026-07-23 22:20:00+03:00,outdoor_context_stale,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
outdoor_context_stale_2026-07-25T01:25:00+03:00,2026-07-25 01:25:00+03:00,outdoor_context_stale,PARTIAL,Favorable,12.444029850746269,0.8,PARTIAL,12.444029850746269,Favorable
