sample_id,computed_ts,stratum,reference_completeness_status,reference_index_class,reference_index_value,value,completeness_status,index_value,index_class
completeness_PARTIAL_2026-06-29T13:55:00+03:00,2026-06-29 13:55:00+03:00,completeness_PARTIAL,PARTIAL,Acceptable,32.8203325710598,5.0,PARTIAL,32.27560428202045,Acceptable
completeness_PARTIAL_2026-07-03T01:35:00+03:00,2026-07-03 01:35:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-13T20:35:00+03:00,2026-07-13 20:35:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-18T11:50:00+03:00,2026-07-18 11:50:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-27T19:40:00+03:00,2026-07-27 19:40:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
data_quality_event_2026-06-27T22:50:00+03:00,2026-06-27 22:50:00+03:00,data_quality_event,FAILED,,,5.0,FAILED,,
data_quality_event_2026-07-01T01:10:00+03:00,2026-07-01 01:10:00+03:00,data_quality_event,FAILED,,,5.0,FAILED,,
data_quality_event_2026-07-01T08:30:00+03:00,2026-07-01 08:30:00+03:00,data_quality_event,FAILED,,,5.0,FAILED,,
data_quality_event_2026-07-04T05:20:00+03:00,2026-07-04 05:20:00+03:00,data_quality_event,FAILED,,,5.0,FAILED,,
data_quality_event_2026-08-02T18:55:00+03:00,2026-08-02 18:55:00+03:00,data_quality_event,PARTIAL,Degraded,62.5,5.0,PARTIAL,62.5,Degraded
outdoor_context_fresh_2026-06-19T15:05:00+03:00,2026-06-19 15:05:00+03:00,outdoor_context_fresh,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
outdoor_context_fresh_2026-07-20T05:40:00+03:00,2026-07-20 05:40:00+03:00,outdoor_context_fresh,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
