sample_id,method,selection_reason,boundary_channel,original_class,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
boundary_humidity_2026-07-16T10:55:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,10.833333333333334,0.0,25.0,25.0,30,0,13,0.0,0.43333333333333335,0.0,0.113517091390478,0.2737723743061511,0.6080299045459127
boundary_humidity_2026-07-16T10:55:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,9.177833540010438,5.773953099138048,20.693373336059935,20.693373336059935,30,0,13,0.0,0.43333333333333335,0.0,0.113517091390478,0.2737723743061511,0.6080299045459127
boundary_humidity_2026-07-16T10:55:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,9.177833540010438,5.773953099138048,20.693373336059935,20.693373336059935,30,0,13,0.0,0.43333333333333335,0.0,0.113517091390478,0.2737723743061511,0.6080299045459127
boundary_humidity_2026-07-16T10:55:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,4.655960744435833,2.9306155130140077,10.346686668029967,11.718302141254565,30,0,1,0.0,0.03333333333333333,0.0,0.113517091390478,0.0059084379948573795,0.16670751396958874
boundary_humidity_2026-07-16T11:05:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,12,0.4,0.24590394326083403,0.5767994750172616,10.0,0.0,25.0,25.0,30,0,12,0.0,0.4,0.0,0.113517091390478,0.24590394326083403,0.5767994750172616
boundary_humidity_2026-07-16T11:05:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,12,0.4,0.24590394326083403,0.5767994750172616,8.459946097429798,2.9289031210846748,22.12706702816906,22.12706702816906,30,0,12,0.0,0.4,0.0,0.113517091390478,0.24590394326083403,0.5767994750172616
boundary_humidity_2026-07-16T11:05:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,12,0.4,0.24590394326083403,0.5767994750172616,8.459946097429798,2.9289031210846748,22.12706702816906,22.12706702816906,30,0,12,0.0,0.4,0.0,0.113517091390478,0.24590394326083403,0.5767994750172616
boundary_humidity_2026-07-16T11:05:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,4.229973048714899,1.4644515605423365,11.06353351408453,11.06353351408453,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-17T02:35:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,5.833333333333333,0.0,25.0,25.0,30,0,7,0.0,0.23333333333333334,0.0,0.113517091390478,0.11792239210501232,0.40928672330324267
boundary_humidity_2026-07-17T02:35:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,6.13593838464212,5.064192279973497,17.018600047143405,19.991777869280234,30,0,7,0.0,0.23333333333333334,0.0,0.113517091390478,0.11792239210501232,0.40928672330324267
boundary_humidity_2026-07-17T02:35:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267,6.13593838464212,5.064192279973497,17.018600047143405,19.991777869280234,30,0,7,0.0,0.23333333333333334,0.0,0.113517091390478,0.11792239210501232,0.40928672330324267
boundary_humidity_2026-07-17T02:35:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,3.06796919232106,2.5320961399867485,8.509300023571702,9.995888934640117,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-17T08:55:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,11,0.36666666666666664,0.21873702204017678,0.5448675356639506,9.166666666666666,0.0,25.0,25.0,30,0,11,0.0,0.36666666666666664,0.0,0.113517091390478,0.21873702204017678,0.5448675356639506
boundary_humidity_2026-07-17T08:55:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,11,0.36666666666666664,0.21873702204017678,0.5448675356639506,9.152736412126142,7.620914391479316,23.172024110019873,25.021157498288957,30,0,11,0.0,0.36666666666666664,0.0,0.113517091390478,0.21873702204017678,0.5448675356639506
boundary_humidity_2026-07-17T08:55:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,11,0.36666666666666664,0.21873702204017678,0.5448675356639506,9.152736412126142,7.620914391479316,23.172024110019873,25.021157498288957,30,0,11,0.0,0.36666666666666664,0.0,0.113517091390478,0.21873702204017678,0.5448675356639506
boundary_humidity_2026-07-17T08:55:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,4.576368206063071,3.810457195739657,11.586012055009936,12.510578749144479,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-17T09:00:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,6,0.2,0.09504978102401235,0.37306047381027446,5.0,0.0,25.0,25.0,30,0,6,0.0,0.2,0.0,0.113517091390478,0.09504978102401235,0.37306047381027446
boundary_humidity_2026-07-17T09:00:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,6,0.2,0.09504978102401235,0.37306047381027446,5.250349624514152,1.0679192169114327,20.487770854599507,22.012111623097162,30,0,6,0.0,0.2,0.0,0.113517091390478,0.09504978102401235,0.37306047381027446
boundary_humidity_2026-07-17T09:00:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,6,0.2,0.09504978102401235,0.37306047381027446,5.250349624514152,1.0679192169114327,20.487770854599507,22.012111623097162,30,0,6,0.0,0.2,0.0,0.113517091390478,0.09504978102401235,0.37306047381027446
boundary_humidity_2026-07-17T09:00:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,2.625174812257076,0.5339596084557163,10.243885427299753,11.006055811548581,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-22T21:05:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-22T21:05:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-22T21:05:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-22T21:05:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-23T19:05:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-23T19:05:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-23T19:05:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-23T19:05:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-24T22:50:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-24T22:50:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-24T22:50:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-24T22:50:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-27T18:35:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-27T18:35:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-27T18:35:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-27T18:35:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T06:05:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T06:05:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T06:05:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T06:05:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:00:00+03:00,CRISP_CLASS_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:00:00+03:00,FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:00:00+03:00,PROPOSED_HFIS,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
boundary_humidity_2026-07-28T10:00:00+03:00,WEIGHTED_MEAN,boundary_adjacent,humidity,Favorable,1,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
