sample_id,computed_ts,selection_reason,boundary_channel,baseline_class_hfis,baseline_index_hfis,baseline_class_crisp_max,baseline_index_crisp_max,baseline_class_crisp_class_max,baseline_index_crisp_class_max,baseline_class_weighted_mean,baseline_index_weighted_mean
boundary_humidity_2026-06-18T18:20:00+03:00,2026-06-18 18:20:00+03:00,boundary_adjacent,humidity,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
boundary_humidity_2026-06-23T14:30:00+03:00,2026-06-23 14:30:00+03:00,boundary_adjacent,humidity,Favourable,18.61390538118657,Favourable,18.61390538118657,Favourable,12.5,Favourable,15.528967615966419
random_2026-06-27T16:25:00+03:00,2026-06-27 16:25:00+03:00,random_comparison,,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
random_2026-06-29T06:45:00+03:00,2026-06-29 06:45:00+03:00,random_comparison,,Acceptable,32.526542392782225,Acceptable,32.526542392782225,Acceptable,37.5,Favourable,22.485286121764247
boundary_pm2_5_2026-07-02T17:15:00+03:00,2026-07-02 17:15:00+03:00,boundary_adjacent,pm2_5,Acceptable,25.25200466580075,Acceptable,25.25200466580075,Acceptable,37.5,Favourable,18.848017258273508
boundary_humidity_2026-07-04T18:30:00+03:00,2026-07-04 18:30:00+03:00,boundary_adjacent,humidity,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
boundary_humidity_2026-07-04T19:15:00+03:00,2026-07-04 19:15:00+03:00,boundary_adjacent,humidity,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
boundary_co2_2026-07-07T02:00:00+03:00,2026-07-07 02:00:00+03:00,boundary_adjacent,co2,Acceptable,25.188271604938272,Acceptable,25.188271604938272,Acceptable,37.5,Favourable,18.81615072784227
random_2026-07-10T02:30:00+03:00,2026-07-10 02:30:00+03:00,random_comparison,,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
random_2026-07-10T09:35:00+03:00,2026-07-10 09:35:00+03:00,random_comparison,,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
boundary_humidity_2026-07-11T11:35:00+03:00,2026-07-11 11:35:00+03:00,boundary_adjacent,humidity,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
random_2026-07-11T18:45:00+03:00,2026-07-11 18:45:00+03:00,random_comparison,,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
boundary_humidity_2026-07-12T06:40:00+03:00,2026-07-12 06:40:00+03:00,boundary_adjacent,humidity,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
random_2026-07-15T22:20:00+03:00,2026-07-15 22:20:00+03:00,random_comparison,,Degraded,62.499999999999964,Degraded,62.5,Degraded,62.5,Degraded,62.499999999999986
random_2026-07-16T03:30:00+03:00,2026-07-16 03:30:00+03:00,random_comparison,,Acceptable,29.3243034405009,Acceptable,29.3243034405009,Acceptable,37.5,Favourable,20.884166645623583
boundary_pm2_5_2026-07-16T06:15:00+03:00,2026-07-16 06:15:00+03:00,boundary_adjacent,pm2_5,Acceptable,25.154737748825013,Acceptable,25.154737748825013,Favourable,12.5,Favourable,18.79938379978564
boundary_humidity_2026-07-17T02:35:00+03:00,2026-07-17 02:35:00+03:00,boundary_adjacent,humidity,Favourable,17.508222130719766,Favourable,17.508222130719766,Favourable,12.5,Favourable,14.976125990733017
