method,selection_reason,boundary_channel,n_samples,n_trials_total,n_class_changes,class_change_rate,class_change_rate_ci95_low,class_change_rate_ci95_high,mean_abs_index_change,median_abs_index_change,p95_abs_index_change,max_abs_index_change,n_comparable_for_direction,n_moved_better,n_moved_worse,prob_moved_better,prob_moved_worse,prob_moved_better_ci95_low,prob_moved_better_ci95_high,prob_moved_worse_ci95_low,prob_moved_worse_ci95_high
CRISP_CLASS_MAX,boundary_adjacent,co2,1,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,11.666666666666666,0.0,25.0,25.0,30,14,0,0.4666666666666667,0.0,0.30232127224128236,0.6385798671847496,0.0,0.113517091390478
CRISP_CLASS_MAX,boundary_adjacent,humidity,15,450,41,0.09111111111111111,0.06787138107278981,0.12127302525752459,2.2777777777777777,0.0,25.0,25.0,450,0,41,0.0,0.09111111111111111,8.673617379884035e-19,0.008464627306090936,0.06787138107278981,0.12127302525752459
CRISP_CLASS_MAX,boundary_adjacent,pm2_5,4,120,38,0.31666666666666665,0.2402270792621595,0.4044803534583481,7.916666666666667,0.0,25.0,25.0,120,20,18,0.16666666666666666,0.15,0.11055912012704824,0.24345439391023813,0.09703734033668816,0.22467684940246252
CRISP_CLASS_MAX,random_comparison,,10,300,25,0.08333333333333333,0.05708047735632001,0.12012238097512637,2.0833333333333335,0.0,25.0,25.0,300,25,0,0.08333333333333333,0.0,0.05708047735632001,0.12012238097512637,0.0,0.012643429997735661
FUZZY_COMPONENT_MAX,boundary_adjacent,co2,1,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,10.81092610113813,12.311728395061728,12.744241754192004,12.744241754192004,30,14,0,0.4666666666666667,0.0,0.30232127224128236,0.6385798671847496,0.0,0.113517091390478
FUZZY_COMPONENT_MAX,boundary_adjacent,humidity,15,450,41,0.09111111111111111,0.06787138107278981,0.12127302525752459,2.084566899002182,0.0,12.872945868935084,19.991777869280234,450,0,41,0.0,0.09111111111111111,8.673617379884035e-19,0.008464627306090936,0.06787138107278981,0.12127302525752459
FUZZY_COMPONENT_MAX,boundary_adjacent,pm2_5,4,120,32,0.26666666666666666,0.1956834035411147,0.35212605628498583,6.473787311697312,6.4003462441774275,12.710707898078745,14.556390206579202,120,32,0,0.26666666666666666,0.0,0.1956834035411147,0.35212605628498583,0.0,0.031020271055929513
FUZZY_COMPONENT_MAX,random_comparison,,10,300,25,0.08333333333333333,0.05708047735632001,0.12012238097512637,2.042560900968447,0.0,12.842282577322582,20.082512542035957,300,25,0,0.08333333333333333,0.0,0.05708047735632001,0.12012238097512637,0.0,0.012643429997735661
PROPOSED_HFIS,boundary_adjacent,co2,1,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,10.81092610113813,12.311728395061728,12.744241754192004,12.744241754192004,30,14,0,0.4666666666666667,0.0,0.30232127224128236,0.6385798671847496,0.0,0.113517091390478
PROPOSED_HFIS,boundary_adjacent,humidity,15,450,41,0.09111111111111111,0.06787138107278981,0.12127302525752459,2.084566899002182,0.0,12.872945868935084,19.991777869280234,450,0,41,0.0,0.09111111111111111,8.673617379884035e-19,0.008464627306090936,0.06787138107278981,0.12127302525752459
PROPOSED_HFIS,boundary_adjacent,pm2_5,4,120,32,0.26666666666666666,0.1956834035411147,0.35212605628498583,6.5526935668399044,6.274927276550379,12.710707898078745,13.765595513926861,120,32,0,0.26666666666666666,0.0,0.1956834035411147,0.35212605628498583,0.0,0.031020271055929513
PROPOSED_HFIS,random_comparison,,10,300,25,0.08333333333333333,0.05708047735632001,0.12012238097512637,2.045253950795292,0.0,12.842282577322589,20.082512542035957,300,25,0,0.08333333333333333,0.0,0.05708047735632001,0.12012238097512637,0.0,0.012643429997735661
WEIGHTED_MEAN,boundary_adjacent,co2,1,30,0,0.0,0.0,0.113517091390478,5.405463050569065,6.155864197530864,6.372120877096002,6.372120877096002,30,0,0,0.0,0.0,0.0,0.113517091390478,0.0,0.113517091390478
WEIGHTED_MEAN,boundary_adjacent,humidity,15,450,8,0.017777777777777778,0.00903508693559254,0.03468413139961517,1.0502358645761503,0.0,6.436472934467545,9.995888934640117,450,0,8,0.0,0.017777777777777778,8.673617379884035e-19,0.008464627306090936,0.00903508693559254,0.03468413139961517
WEIGHTED_MEAN,boundary_adjacent,pm2_5,4,120,27,0.225,0.1594905146581338,0.3075706344226275,4.590136021713425,4.7375632215478785,11.427498487634782,13.62847166161895,120,23,4,0.19166666666666668,0.03333333333333333,0.13124933052612614,0.2712131699583638,0.013037340166920576,0.0825815794852803
WEIGHTED_MEAN,random_comparison,,10,300,16,0.05333333333333334,0.03309162538404202,0.08486983874726851,1.703069609299453,0.0,8.236234018901122,15.353036256337973,300,13,3,0.043333333333333335,0.01,0.025496203603204263,0.07271812912806098,0.0034065567627181124,0.028984004635062833
