boundary_id,channel,context,boundary_value,grid_index,input_value,method,index_value,index_class
co2_breakpoint0,co2,acceptable,800.0,0,730.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,1,737.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,2,744.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,3,751.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,4,758.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,5,765.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,6,772.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,7,779.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,8,786.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,9,793.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,10,800.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,11,807.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,12,814.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,13,821.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,14,828.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,15,835.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,16,842.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,17,849.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,18,856.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,19,863.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,20,870.0,CRISP_CLASS_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,0,730.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,1,737.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,2,744.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,3,751.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,4,758.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,5,765.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,6,772.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,7,779.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,8,786.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,9,793.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,10,800.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,11,807.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,12,814.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,13,821.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
co2_breakpoint0,co2,acceptable,800.0,14,828.0,FUZZY_COMPONENT_MAX,37.5,Acceptable
