dataset_split,true_label,predicted_label,count
calibration,data_loss,data_loss,20
calibration,gradual_drift,gradual_drift,40
calibration,none,gradual_drift,14
calibration,none,none,663
calibration,none,single_spike,319
calibration,none,stuck_value,102
calibration,out_of_range,out_of_range,5
calibration,single_spike,single_spike,7
calibration,stuck_value,stuck_value,32
validation,data_loss,data_loss,20
validation,gradual_drift,gradual_drift,40
validation,none,gradual_drift,42
validation,none,none,610
validation,none,single_spike,349
validation,none,stuck_value,102
validation,out_of_range,out_of_range,5
validation,single_spike,single_spike,7
validation,stuck_value,stuck_value,32
