dataset_split,reason_code,tp,fp,fn,tn,precision,recall,f1,specificity,false_positive_rate,mean_detection_delay
calibration,data_loss,20,0,0,1180,1.0,1.0,1.0,1.0,0.0,0.0
calibration,gradual_drift,18,7,22,1153,0.72,0.45,0.5538461538461539,0.9939655172413793,0.00603448275862069,5.5
calibration,out_of_range,5,0,0,1195,1.0,1.0,1.0,1.0,0.0,0.0
calibration,single_spike,7,58,0,1135,0.1076923076923077,1.0,0.19444444444444445,0.9513830678960603,0.04861693210393965,0.0
calibration,stuck_value,32,0,0,1168,1.0,1.0,1.0,1.0,0.0,0.0
validation,data_loss,20,0,0,1180,1.0,1.0,1.0,1.0,0.0,0.0
validation,gradual_drift,24,15,16,1145,0.6153846153846154,0.6,0.6075949367088608,0.9870689655172413,0.01293103448275862,4.0
validation,out_of_range,5,0,0,1195,1.0,1.0,1.0,1.0,0.0,0.0
validation,single_spike,7,60,0,1133,0.1044776119402985,1.0,0.18918918918918917,0.9497066219614417,0.050293378038558254,0.0
validation,stuck_value,32,0,0,1168,1.0,1.0,1.0,1.0,0.0,0.0
