dataset_split,reason_code,tp,fp,fn,tn,precision,recall,f1,specificity,false_positive_rate
calibration,data_loss,20,26,0,1154,0.43478260869565216,1.0,0.6060606060606061,0.9779661016949153,0.022033898305084745
calibration,gradual_drift,7,39,33,1121,0.15217391304347827,0.175,0.1627906976744186,0.9663793103448276,0.03362068965517241
calibration,out_of_range,5,41,0,1154,0.10869565217391304,1.0,0.19607843137254902,0.9656903765690377,0.03430962343096234
calibration,single_spike,1,45,6,1148,0.021739130434782608,0.14285714285714285,0.03773584905660378,0.9622799664710813,0.037720033528918694
calibration,stuck_value,8,38,24,1130,0.17391304347826086,0.25,0.20512820512820512,0.9674657534246576,0.032534246575342464
validation,data_loss,20,27,0,1153,0.425531914893617,1.0,0.5970149253731344,0.9771186440677966,0.02288135593220339
validation,gradual_drift,8,39,32,1121,0.1702127659574468,0.2,0.18390804597701152,0.9663793103448276,0.03362068965517241
validation,out_of_range,5,42,0,1153,0.10638297872340426,1.0,0.1923076923076923,0.9648535564853556,0.035146443514644354
validation,single_spike,1,46,6,1147,0.02127659574468085,0.14285714285714285,0.037037037037037035,0.961441743503772,0.038558256496227995
validation,stuck_value,8,39,24,1129,0.1702127659574468,0.25,0.20253164556962025,0.9666095890410958,0.03339041095890411
