panel,component,channel,boundary_id,context,boundary_value,boundary_unit,grid_point,input_value,distance_from_boundary,method,integrated_index,output_class
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,1,10.0,-5.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,2,10.5,-4.5,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,3,11.0,-4.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,4,11.5,-3.5,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,5,12.0,-3.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,6,12.5,-2.5,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,7,13.0,-2.0,PROPOSED-HFIS,15.05927579365079,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,8,13.5,-1.5,PROPOSED-HFIS,17.635548131650584,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,9,14.0,-1.0,PROPOSED-HFIS,20.17871262663702,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,10,14.5,-0.5,PROPOSED-HFIS,22.694444444444443,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,11,15.0,0.0,PROPOSED-HFIS,25.188271604938272,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,12,15.5,0.5,PROPOSED-HFIS,27.66003460207613,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,13,16.0,1.0,PROPOSED-HFIS,30.12175043327556,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,14,16.5,1.5,PROPOSED-HFIS,32.578741623231565,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,15,17.0,2.0,PROPOSED-HFIS,35.03635458167331,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,16,17.5,2.5,PROPOSED-HFIS,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,17,18.0,3.0,PROPOSED-HFIS,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,18,18.5,3.5,PROPOSED-HFIS,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,19,19.0,4.0,PROPOSED-HFIS,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,20,19.5,4.5,PROPOSED-HFIS,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,21,20.0,5.0,PROPOSED-HFIS,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,1,10.0,-5.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,2,10.5,-4.5,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,3,11.0,-4.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,4,11.5,-3.5,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,5,12.0,-3.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,6,12.5,-2.5,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,7,13.0,-2.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,8,13.5,-1.5,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,9,14.0,-1.0,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,10,14.5,-0.5,CRISP-CLASS-MAX,12.5,FAVOURABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,11,15.0,0.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,12,15.5,0.5,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,13,16.0,1.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,14,16.5,1.5,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,15,17.0,2.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,16,17.5,2.5,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,17,18.0,3.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,18,18.5,3.5,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,19,19.0,4.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,20,19.5,4.5,CRISP-CLASS-MAX,37.5,ACCEPTABLE
a,Aerosol,pm2_5,pm2_5_breakpoint0,favourable,15.0,ug/m3,21,20.0,5.0,CRISP-CLASS-MAX,37.5,ACCEPTABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,1,730.0,-70.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,2,737.0,-63.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,3,744.0,-56.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
b,Ventilation,co2,co2_breakpoint0,favourable,800.0,ppm,4,751.0,-49.0,PROPOSED-HFIS,12.444029850746269,FAVOURABLE
