dataset_split,window_size,mad_multiplier,fault_recall,genuine_event_preservation_rate,single_spike_false_positive_rate,objective_score,selected
calibration,7,1.0,1.0,1.0,0.11392405063291139,0.9620253164556963,False
calibration,7,2.0,1.0,1.0,0.0379746835443038,0.9873417721518987,False
calibration,7,3.0,1.0,1.0,0.03164556962025317,0.9894514767932489,False
calibration,11,1.0,1.0,0.95,0.22151898734177214,0.9094936708860759,False
calibration,11,2.0,1.0,1.0,0.06962025316455696,0.9767932489451477,False
calibration,11,3.0,1.0,1.0,0.056962025316455694,0.9810126582278481,True
calibration,15,1.0,1.0,0.95,0.12658227848101267,0.9411392405063291,False
calibration,15,2.0,1.0,1.0,0.0949367088607595,0.9683544303797468,False
calibration,15,3.0,1.0,1.0,0.08860759493670886,0.9704641350210971,False
validation,7,1.0,1.0,1.0,0.08860759493670886,0.9704641350210971,False
validation,7,2.0,1.0,1.0,0.0379746835443038,0.9873417721518987,False
validation,7,3.0,1.0,1.0,0.03164556962025317,0.9894514767932489,False
validation,11,1.0,1.0,0.95,0.18354430379746836,0.9221518987341772,False
validation,11,2.0,1.0,1.0,0.06962025316455696,0.9767932489451477,False
validation,11,3.0,1.0,1.0,0.056962025316455694,0.9810126582278481,True
validation,15,1.0,1.0,0.95,0.12658227848101267,0.9411392405063291,False
validation,15,2.0,1.0,1.0,0.0949367088607595,0.9683544303797468,False
validation,15,3.0,1.0,1.0,0.08860759493670886,0.9704641350210971,False
