computed_ts,window_minutes,completeness_status,index_value,index_class,dominant_component,co_dominant_components,worst_component_class,largest_component_score,dominance_reason,rule_level_contributors,n_rules_fired
2026-06-18 03:05:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:10:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:15:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:20:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:25:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:30:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:35:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:40:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:45:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:50:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 03:55:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:00:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:05:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:10:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:15:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:20:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:25:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:30:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:35:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:40:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:45:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:50:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 04:55:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:00:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:05:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:10:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:15:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:20:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:25:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:30:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:35:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:40:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:45:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:50:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 05:55:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:00:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:05:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:10:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:15:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:20:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:25:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:30:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:35:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:40:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:45:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:50:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 06:55:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:00:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:05:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:10:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:15:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:20:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:25:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:30:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:35:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:40:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:45:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:50:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 07:55:00+03:00,15,FAILED,,,,,,,,,
2026-06-18 08:00:00+03:00,15,FAILED,,,,,,,,,
