computed_ts,proposed_status,proposed_index_value,proposed_index_class,crisp_max_index_value,crisp_max_index_class,crisp_class_max_index_value,crisp_class_max_index_class,weighted_mean_index_value,weighted_mean_index_class
2026-07-15 03:05:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,20.796019900497512,Favorable
2026-07-15 03:10:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,20.796019900497512,Favorable
2026-07-15 03:15:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,20.796019900497512,Favorable
2026-07-15 03:20:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,20.796019900497512,Favorable
2026-07-15 03:25:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,20.796019900497512,Favorable
2026-07-15 03:30:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,20.9929261918574,Favorable
2026-07-15 03:35:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,21.16881913572644,Favorable
2026-07-15 03:40:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,21.104568067476848,Favorable
2026-07-15 03:45:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,20.92397867951725,Favorable
2026-07-15 03:50:00+03:00,OK,37.49999999999999,Acceptable,37.5,Acceptable,37.5,Acceptable,20.901217331550757,Favorable
2026-07-15 03:55:00+03:00,OK,37.49999999999999,Acceptable,37.5,Acceptable,37.5,Acceptable,20.862312020170062,Favorable
2026-07-15 04:00:00+03:00,OK,37.49999999999999,Acceptable,37.5,Acceptable,37.5,Acceptable,20.913964541211524,Favorable
2026-07-15 04:05:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,20.951851418492456,Favorable
2026-07-15 04:10:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.278309666075202,Favorable
2026-07-15 04:15:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.227296298103447,Favorable
2026-07-15 04:20:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,21.060531001511325,Favorable
2026-07-15 04:25:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.20427478581092,Favorable
2026-07-15 04:30:00+03:00,OK,37.49999999999999,Acceptable,37.5,Acceptable,37.5,Acceptable,21.396309583815718,Favorable
2026-07-15 04:35:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.86655386902527,Favorable
2026-07-15 04:40:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.743853366001897,Favorable
2026-07-15 04:45:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,21.558301562566598,Favorable
2026-07-15 04:50:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,21.66547648352304,Favorable
2026-07-15 04:55:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.710226519502896,Favorable
2026-07-15 05:00:00+03:00,OK,37.49999999999999,Acceptable,37.5,Acceptable,37.5,Acceptable,21.756199963170886,Favorable
2026-07-15 05:05:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.659670040655673,Favorable
2026-07-15 05:10:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.448083972574945,Favorable
2026-07-15 05:15:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.372973863954428,Favorable
2026-07-15 05:20:00+03:00,OK,37.49999999999999,Acceptable,37.5,Acceptable,37.5,Acceptable,21.64540846797293,Favorable
2026-07-15 05:25:00+03:00,OK,37.500000000000014,Acceptable,37.5,Acceptable,37.5,Acceptable,22.04511333469759,Favorable
2026-07-15 05:30:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,22.03748218882663,Favorable
2026-07-15 05:35:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,21.743751548460025,Favorable
2026-07-15 05:40:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.56132363531549,Favorable
2026-07-15 05:45:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,21.729754122474827,Favorable
2026-07-15 05:50:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.84569401862261,Favorable
2026-07-15 05:55:00+03:00,OK,37.5,Acceptable,37.5,Acceptable,37.5,Acceptable,21.676545151872016,Favorable
2026-07-15 06:00:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,21.62821859157492,Favorable
2026-07-15 06:05:00+03:00,OK,37.50000000000001,Acceptable,37.5,Acceptable,37.5,Acceptable,21.63068736974783,Favorable
