sample_id,computed_ts,stratum,reference_completeness_status,reference_index_class,reference_index_value,value,completeness_status,index_value,index_class
boundary_adjacent_2026-06-23T03:50:00+03:00,2026-06-23 03:50:00+03:00,boundary_adjacent,OK,Critical,77.67951358178226,5.0,OK,77.10773132421892,Critical
boundary_adjacent_2026-06-23T03:55:00+03:00,2026-06-23 03:55:00+03:00,boundary_adjacent,OK,Critical,77.2449005398103,5.0,OK,77.88643067428349,Critical
boundary_adjacent_2026-07-02T13:20:00+03:00,2026-07-02 13:20:00+03:00,boundary_adjacent,OK,Critical,87.32359159720939,5.0,OK,87.3628563118092,Critical
boundary_adjacent_2026-07-05T23:40:00+03:00,2026-07-05 23:40:00+03:00,boundary_adjacent,OK,Degraded,74.96135802469153,5.0,OK,74.63886392145636,Degraded
boundary_adjacent_2026-07-18T21:45:00+03:00,2026-07-18 21:45:00+03:00,boundary_adjacent,OK,Critical,78.03826748140648,5.0,OK,77.35543209876553,Critical
class_Acceptable_2026-06-20T00:55:00+03:00,2026-06-20 00:55:00+03:00,class_Acceptable,OK,Acceptable,42.425489873209685,5.0,OK,41.361813771595195,Acceptable
class_Acceptable_2026-07-15T04:30:00+03:00,2026-07-15 04:30:00+03:00,class_Acceptable,OK,Acceptable,37.49999999999999,5.0,OK,37.5,Acceptable
class_Acceptable_2026-07-15T06:05:00+03:00,2026-07-15 06:05:00+03:00,class_Acceptable,OK,Acceptable,37.50000000000001,5.0,OK,37.5,Acceptable
class_Acceptable_2026-07-22T23:00:00+03:00,2026-07-22 23:00:00+03:00,class_Acceptable,OK,Acceptable,26.959205692918434,5.0,OK,47.03030328987105,Acceptable
class_Acceptable_2026-07-27T18:50:00+03:00,2026-07-27 18:50:00+03:00,class_Acceptable,OK,Acceptable,37.5,5.0,OK,37.5,Acceptable
class_Critical_2026-06-22T09:45:00+03:00,2026-06-22 09:45:00+03:00,class_Critical,OK,Critical,87.36365505395166,5.0,OK,87.55597014925372,Critical
class_Critical_2026-06-29T01:40:00+03:00,2026-06-29 01:40:00+03:00,class_Critical,OK,Critical,87.55597014925372,5.0,PARTIAL,37.5,Acceptable
class_Critical_2026-08-02T01:25:00+03:00,2026-08-02 01:25:00+03:00,class_Critical,OK,Critical,87.55597014925372,5.0,OK,87.55597014925372,Critical
class_Critical_2026-08-02T03:00:00+03:00,2026-08-02 03:00:00+03:00,class_Critical,OK,Critical,87.55597014925372,5.0,OK,87.55597014925372,Critical
class_Critical_2026-08-03T10:50:00+03:00,2026-08-03 10:50:00+03:00,class_Critical,OK,Critical,87.52303794085415,5.0,OK,87.3151713657382,Critical
class_Degraded_2026-07-06T04:35:00+03:00,2026-07-06 04:35:00+03:00,class_Degraded,OK,Degraded,62.5,5.0,OK,62.5,Degraded
class_Degraded_2026-07-18T05:00:00+03:00,2026-07-18 05:00:00+03:00,class_Degraded,OK,Degraded,62.5,5.0,OK,62.5,Degraded
class_Degraded_2026-07-18T06:45:00+03:00,2026-07-18 06:45:00+03:00,class_Degraded,OK,Degraded,62.5,5.0,OK,62.5,Degraded
class_Degraded_2026-07-19T05:10:00+03:00,2026-07-19 05:10:00+03:00,class_Degraded,OK,Degraded,62.5,5.0,OK,62.5,Degraded
class_Degraded_2026-07-21T19:45:00+03:00,2026-07-21 19:45:00+03:00,class_Degraded,OK,Degraded,64.71816460741357,5.0,OK,66.70892704544984,Degraded
class_Favourable_2026-07-12T23:25:00+03:00,2026-07-12 23:25:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,5.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-20T14:50:00+03:00,2026-07-20 14:50:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,5.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-22T15:55:00+03:00,2026-07-22 15:55:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,5.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-23T05:40:00+03:00,2026-07-23 05:40:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,5.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-25T21:30:00+03:00,2026-07-25 21:30:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,5.0,OK,12.444029850746269,Favourable
completeness_PARTIAL_2026-06-19T04:15:00+03:00,2026-06-19 04:15:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,19.30672214505993,5.0,OK,20.304951571456822,Favourable
completeness_PARTIAL_2026-07-17T21:50:00+03:00,2026-07-17 21:50:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,5.0,OK,87.55597014925372,Critical
completeness_PARTIAL_2026-07-25T07:10:00+03:00,2026-07-25 07:10:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-28T08:25:00+03:00,2026-07-28 08:25:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,5.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-08-02T18:05:00+03:00,2026-08-02 18:05:00+03:00,completeness_PARTIAL,PARTIAL,Degraded,57.188844267804456,5.0,OK,87.4349531775556,Critical
data_quality_event_2026-06-18T12:10:00+03:00,2026-06-18 12:10:00+03:00,data_quality_event,FAILED,,,5.0,FAILED,,
data_quality_event_2026-06-18T16:35:00+03:00,2026-06-18 16:35:00+03:00,data_quality_event,PARTIAL,Acceptable,29.99871268010084,5.0,PARTIAL,34.962748476277696,Acceptable
data_quality_event_2026-06-21T17:10:00+03:00,2026-06-21 17:10:00+03:00,data_quality_event,FAILED,,,5.0,FAILED,,
data_quality_event_2026-07-04T05:20:00+03:00,2026-07-04 05:20:00+03:00,data_quality_event,FAILED,,,5.0,FAILED,,
data_quality_event_2026-07-04T08:45:00+03:00,2026-07-04 08:45:00+03:00,data_quality_event,FAILED,,,5.0,FAILED,,
ordinary_2026-07-06T07:20:00+03:00,2026-07-06 07:20:00+03:00,ordinary,OK,Degraded,61.202197590489654,5.0,OK,61.95742258879445,Degraded
ordinary_2026-07-09T00:00:00+03:00,2026-07-09 00:00:00+03:00,ordinary,OK,Favourable,12.444029850746269,5.0,OK,12.444029850746269,Favourable
ordinary_2026-07-22T19:35:00+03:00,2026-07-22 19:35:00+03:00,ordinary,OK,Degraded,62.5,5.0,OK,62.5,Degraded
ordinary_2026-07-30T16:50:00+03:00,2026-07-30 16:50:00+03:00,ordinary,OK,Degraded,62.5,5.0,OK,62.5,Degraded
ordinary_2026-07-30T20:35:00+03:00,2026-07-30 20:35:00+03:00,ordinary,OK,Critical,87.55597014925372,5.0,OK,87.55597014925372,Critical
outdoor_context_fresh_2026-06-30T05:50:00+03:00,2026-06-30 05:50:00+03:00,outdoor_context_fresh,OK,Critical,87.55597014925372,5.0,OK,87.55597014925372,Critical
outdoor_context_fresh_2026-07-05T10:50:00+03:00,2026-07-05 10:50:00+03:00,outdoor_context_fresh,OK,Critical,75.00292181069992,5.0,OK,76.53246913580236,Critical
outdoor_context_fresh_2026-07-19T04:20:00+03:00,2026-07-19 04:20:00+03:00,outdoor_context_fresh,OK,Degraded,62.5,5.0,OK,62.5,Degraded
outdoor_context_fresh_2026-07-19T08:35:00+03:00,2026-07-19 08:35:00+03:00,outdoor_context_fresh,OK,Degraded,62.5,5.0,OK,62.5,Degraded
outdoor_context_fresh_2026-07-21T10:55:00+03:00,2026-07-21 10:55:00+03:00,outdoor_context_fresh,OK,Degraded,70.61821521816121,5.0,OK,28.384418731054268,Acceptable
outdoor_context_stale_2026-06-25T05:20:00+03:00,2026-06-25 05:20:00+03:00,outdoor_context_stale,FAILED,,,5.0,FAILED,,
outdoor_context_stale_2026-07-24T04:00:00+03:00,2026-07-24 04:00:00+03:00,outdoor_context_stale,OK,Favourable,12.444029850746269,5.0,OK,12.444029850746269,Favourable
outdoor_context_stale_2026-07-31T11:05:00+03:00,2026-07-31 11:05:00+03:00,outdoor_context_stale,OK,Degraded,64.0215717895857,5.0,OK,66.29078061777358,Degraded
outdoor_context_stale_2026-07-31T11:30:00+03:00,2026-07-31 11:30:00+03:00,outdoor_context_stale,OK,Degraded,67.15120863623724,5.0,OK,67.49487759842762,Degraded
outdoor_context_stale_2026-08-04T11:30:00+03:00,2026-08-04 11:30:00+03:00,outdoor_context_stale,PARTIAL,Favourable,12.444029850746269,5.0,OK,87.55597014925372,Critical
boundary_adjacent_2026-06-23T03:50:00+03:00,2026-06-23 03:50:00+03:00,boundary_adjacent,OK,Critical,77.67951358178226,15.0,OK,77.67951358178226,Critical
boundary_adjacent_2026-06-23T03:55:00+03:00,2026-06-23 03:55:00+03:00,boundary_adjacent,OK,Critical,77.2449005398103,15.0,OK,77.2449005398103,Critical
boundary_adjacent_2026-07-02T13:20:00+03:00,2026-07-02 13:20:00+03:00,boundary_adjacent,OK,Critical,87.32359159720939,15.0,OK,87.32359159720939,Critical
boundary_adjacent_2026-07-05T23:40:00+03:00,2026-07-05 23:40:00+03:00,boundary_adjacent,OK,Degraded,74.96135802469153,15.0,OK,74.96135802469153,Degraded
boundary_adjacent_2026-07-18T21:45:00+03:00,2026-07-18 21:45:00+03:00,boundary_adjacent,OK,Critical,78.03826748140648,15.0,OK,78.03826748140648,Critical
class_Acceptable_2026-06-20T00:55:00+03:00,2026-06-20 00:55:00+03:00,class_Acceptable,OK,Acceptable,42.425489873209685,15.0,OK,42.425489873209685,Acceptable
class_Acceptable_2026-07-15T04:30:00+03:00,2026-07-15 04:30:00+03:00,class_Acceptable,OK,Acceptable,37.49999999999999,15.0,OK,37.49999999999999,Acceptable
class_Acceptable_2026-07-15T06:05:00+03:00,2026-07-15 06:05:00+03:00,class_Acceptable,OK,Acceptable,37.50000000000001,15.0,OK,37.50000000000001,Acceptable
class_Acceptable_2026-07-22T23:00:00+03:00,2026-07-22 23:00:00+03:00,class_Acceptable,OK,Acceptable,26.959205692918434,15.0,OK,26.959205692918434,Acceptable
class_Acceptable_2026-07-27T18:50:00+03:00,2026-07-27 18:50:00+03:00,class_Acceptable,OK,Acceptable,37.5,15.0,OK,37.5,Acceptable
class_Critical_2026-06-22T09:45:00+03:00,2026-06-22 09:45:00+03:00,class_Critical,OK,Critical,87.36365505395166,15.0,OK,87.36365505395166,Critical
class_Critical_2026-06-29T01:40:00+03:00,2026-06-29 01:40:00+03:00,class_Critical,OK,Critical,87.55597014925372,15.0,OK,87.55597014925372,Critical
class_Critical_2026-08-02T01:25:00+03:00,2026-08-02 01:25:00+03:00,class_Critical,OK,Critical,87.55597014925372,15.0,OK,87.55597014925372,Critical
class_Critical_2026-08-02T03:00:00+03:00,2026-08-02 03:00:00+03:00,class_Critical,OK,Critical,87.55597014925372,15.0,OK,87.55597014925372,Critical
class_Critical_2026-08-03T10:50:00+03:00,2026-08-03 10:50:00+03:00,class_Critical,OK,Critical,87.52303794085415,15.0,OK,87.52303794085415,Critical
class_Degraded_2026-07-06T04:35:00+03:00,2026-07-06 04:35:00+03:00,class_Degraded,OK,Degraded,62.5,15.0,OK,62.5,Degraded
class_Degraded_2026-07-18T05:00:00+03:00,2026-07-18 05:00:00+03:00,class_Degraded,OK,Degraded,62.5,15.0,OK,62.5,Degraded
class_Degraded_2026-07-18T06:45:00+03:00,2026-07-18 06:45:00+03:00,class_Degraded,OK,Degraded,62.5,15.0,OK,62.5,Degraded
class_Degraded_2026-07-19T05:10:00+03:00,2026-07-19 05:10:00+03:00,class_Degraded,OK,Degraded,62.5,15.0,OK,62.5,Degraded
class_Degraded_2026-07-21T19:45:00+03:00,2026-07-21 19:45:00+03:00,class_Degraded,OK,Degraded,64.71816460741357,15.0,OK,64.71816460741357,Degraded
class_Favourable_2026-07-12T23:25:00+03:00,2026-07-12 23:25:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,15.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-20T14:50:00+03:00,2026-07-20 14:50:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,15.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-22T15:55:00+03:00,2026-07-22 15:55:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,15.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-23T05:40:00+03:00,2026-07-23 05:40:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,15.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-25T21:30:00+03:00,2026-07-25 21:30:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,15.0,OK,12.444029850746269,Favourable
completeness_PARTIAL_2026-06-19T04:15:00+03:00,2026-06-19 04:15:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,19.30672214505993,15.0,PARTIAL,19.30672214505993,Favourable
completeness_PARTIAL_2026-07-17T21:50:00+03:00,2026-07-17 21:50:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,15.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-25T07:10:00+03:00,2026-07-25 07:10:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,15.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-28T08:25:00+03:00,2026-07-28 08:25:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,15.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-08-02T18:05:00+03:00,2026-08-02 18:05:00+03:00,completeness_PARTIAL,PARTIAL,Degraded,57.188844267804456,15.0,PARTIAL,57.188844267804456,Degraded
data_quality_event_2026-06-18T12:10:00+03:00,2026-06-18 12:10:00+03:00,data_quality_event,FAILED,,,15.0,FAILED,,
data_quality_event_2026-06-18T16:35:00+03:00,2026-06-18 16:35:00+03:00,data_quality_event,PARTIAL,Acceptable,29.99871268010084,15.0,PARTIAL,29.99871268010084,Acceptable
data_quality_event_2026-06-21T17:10:00+03:00,2026-06-21 17:10:00+03:00,data_quality_event,FAILED,,,15.0,FAILED,,
data_quality_event_2026-07-04T05:20:00+03:00,2026-07-04 05:20:00+03:00,data_quality_event,FAILED,,,15.0,FAILED,,
data_quality_event_2026-07-04T08:45:00+03:00,2026-07-04 08:45:00+03:00,data_quality_event,FAILED,,,15.0,FAILED,,
ordinary_2026-07-06T07:20:00+03:00,2026-07-06 07:20:00+03:00,ordinary,OK,Degraded,61.202197590489654,15.0,OK,61.202197590489654,Degraded
ordinary_2026-07-09T00:00:00+03:00,2026-07-09 00:00:00+03:00,ordinary,OK,Favourable,12.444029850746269,15.0,OK,12.444029850746269,Favourable
ordinary_2026-07-22T19:35:00+03:00,2026-07-22 19:35:00+03:00,ordinary,OK,Degraded,62.5,15.0,OK,62.5,Degraded
ordinary_2026-07-30T16:50:00+03:00,2026-07-30 16:50:00+03:00,ordinary,OK,Degraded,62.5,15.0,OK,62.5,Degraded
ordinary_2026-07-30T20:35:00+03:00,2026-07-30 20:35:00+03:00,ordinary,OK,Critical,87.55597014925372,15.0,OK,87.55597014925372,Critical
outdoor_context_fresh_2026-06-30T05:50:00+03:00,2026-06-30 05:50:00+03:00,outdoor_context_fresh,OK,Critical,87.55597014925372,15.0,OK,87.55597014925372,Critical
outdoor_context_fresh_2026-07-05T10:50:00+03:00,2026-07-05 10:50:00+03:00,outdoor_context_fresh,OK,Critical,75.00292181069992,15.0,OK,75.00292181069992,Critical
outdoor_context_fresh_2026-07-19T04:20:00+03:00,2026-07-19 04:20:00+03:00,outdoor_context_fresh,OK,Degraded,62.5,15.0,OK,62.5,Degraded
outdoor_context_fresh_2026-07-19T08:35:00+03:00,2026-07-19 08:35:00+03:00,outdoor_context_fresh,OK,Degraded,62.5,15.0,OK,62.5,Degraded
outdoor_context_fresh_2026-07-21T10:55:00+03:00,2026-07-21 10:55:00+03:00,outdoor_context_fresh,OK,Degraded,70.61821521816121,15.0,OK,70.61821521816121,Degraded
outdoor_context_stale_2026-06-25T05:20:00+03:00,2026-06-25 05:20:00+03:00,outdoor_context_stale,FAILED,,,15.0,FAILED,,
outdoor_context_stale_2026-07-24T04:00:00+03:00,2026-07-24 04:00:00+03:00,outdoor_context_stale,OK,Favourable,12.444029850746269,15.0,OK,12.444029850746269,Favourable
outdoor_context_stale_2026-07-31T11:05:00+03:00,2026-07-31 11:05:00+03:00,outdoor_context_stale,OK,Degraded,64.0215717895857,15.0,OK,64.0215717895857,Degraded
outdoor_context_stale_2026-07-31T11:30:00+03:00,2026-07-31 11:30:00+03:00,outdoor_context_stale,OK,Degraded,67.15120863623724,15.0,OK,67.15120863623724,Degraded
outdoor_context_stale_2026-08-04T11:30:00+03:00,2026-08-04 11:30:00+03:00,outdoor_context_stale,PARTIAL,Favourable,12.444029850746269,15.0,PARTIAL,12.444029850746269,Favourable
boundary_adjacent_2026-06-23T03:50:00+03:00,2026-06-23 03:50:00+03:00,boundary_adjacent,OK,Critical,77.67951358178226,30.0,OK,78.7573325708268,Critical
boundary_adjacent_2026-06-23T03:55:00+03:00,2026-06-23 03:55:00+03:00,boundary_adjacent,OK,Critical,77.2449005398103,30.0,OK,78.14952829590273,Critical
boundary_adjacent_2026-07-02T13:20:00+03:00,2026-07-02 13:20:00+03:00,boundary_adjacent,OK,Critical,87.32359159720939,30.0,OK,87.35146577053418,Critical
boundary_adjacent_2026-07-05T23:40:00+03:00,2026-07-05 23:40:00+03:00,boundary_adjacent,OK,Degraded,74.96135802469153,30.0,OK,76.39115226337412,Critical
boundary_adjacent_2026-07-18T21:45:00+03:00,2026-07-18 21:45:00+03:00,boundary_adjacent,OK,Critical,78.03826748140648,30.0,OK,78.71922175092965,Critical
class_Acceptable_2026-06-20T00:55:00+03:00,2026-06-20 00:55:00+03:00,class_Acceptable,OK,Acceptable,42.425489873209685,30.0,OK,43.626178664125995,Acceptable
class_Acceptable_2026-07-15T04:30:00+03:00,2026-07-15 04:30:00+03:00,class_Acceptable,OK,Acceptable,37.49999999999999,30.0,OK,37.49999999999999,Acceptable
class_Acceptable_2026-07-15T06:05:00+03:00,2026-07-15 06:05:00+03:00,class_Acceptable,OK,Acceptable,37.50000000000001,30.0,OK,37.5,Acceptable
class_Acceptable_2026-07-22T23:00:00+03:00,2026-07-22 23:00:00+03:00,class_Acceptable,OK,Acceptable,26.959205692918434,30.0,OK,21.812842333263557,Favourable
class_Acceptable_2026-07-27T18:50:00+03:00,2026-07-27 18:50:00+03:00,class_Acceptable,OK,Acceptable,37.5,30.0,OK,32.056193692483106,Acceptable
class_Critical_2026-06-22T09:45:00+03:00,2026-06-22 09:45:00+03:00,class_Critical,OK,Critical,87.36365505395166,30.0,OK,85.23198764801057,Critical
class_Critical_2026-06-29T01:40:00+03:00,2026-06-29 01:40:00+03:00,class_Critical,OK,Critical,87.55597014925372,30.0,OK,87.55597014925372,Critical
class_Critical_2026-08-02T01:25:00+03:00,2026-08-02 01:25:00+03:00,class_Critical,OK,Critical,87.55597014925372,30.0,OK,87.55597014925372,Critical
class_Critical_2026-08-02T03:00:00+03:00,2026-08-02 03:00:00+03:00,class_Critical,OK,Critical,87.55597014925372,30.0,OK,87.55597014925372,Critical
class_Critical_2026-08-03T10:50:00+03:00,2026-08-03 10:50:00+03:00,class_Critical,OK,Critical,87.52303794085415,30.0,OK,87.43796625648605,Critical
class_Degraded_2026-07-06T04:35:00+03:00,2026-07-06 04:35:00+03:00,class_Degraded,OK,Degraded,62.5,30.0,OK,62.5,Degraded
class_Degraded_2026-07-18T05:00:00+03:00,2026-07-18 05:00:00+03:00,class_Degraded,OK,Degraded,62.5,30.0,OK,62.5,Degraded
class_Degraded_2026-07-18T06:45:00+03:00,2026-07-18 06:45:00+03:00,class_Degraded,OK,Degraded,62.5,30.0,OK,62.5,Degraded
class_Degraded_2026-07-19T05:10:00+03:00,2026-07-19 05:10:00+03:00,class_Degraded,OK,Degraded,62.5,30.0,OK,62.5,Degraded
class_Degraded_2026-07-21T19:45:00+03:00,2026-07-21 19:45:00+03:00,class_Degraded,OK,Degraded,64.71816460741357,30.0,OK,62.5,Degraded
class_Favourable_2026-07-12T23:25:00+03:00,2026-07-12 23:25:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,30.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-20T14:50:00+03:00,2026-07-20 14:50:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,30.0,OK,18.720246043482273,Favourable
class_Favourable_2026-07-22T15:55:00+03:00,2026-07-22 15:55:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,30.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-23T05:40:00+03:00,2026-07-23 05:40:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,30.0,OK,12.444029850746269,Favourable
class_Favourable_2026-07-25T21:30:00+03:00,2026-07-25 21:30:00+03:00,class_Favourable,OK,Favourable,12.444029850746269,30.0,OK,12.444029850746269,Favourable
completeness_PARTIAL_2026-06-19T04:15:00+03:00,2026-06-19 04:15:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,19.30672214505993,30.0,OK,19.46312285789612,Favourable
completeness_PARTIAL_2026-07-17T21:50:00+03:00,2026-07-17 21:50:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,30.0,OK,87.55597014925372,Critical
completeness_PARTIAL_2026-07-25T07:10:00+03:00,2026-07-25 07:10:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,30.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-07-28T08:25:00+03:00,2026-07-28 08:25:00+03:00,completeness_PARTIAL,PARTIAL,Favourable,12.444029850746269,30.0,PARTIAL,12.444029850746269,Favourable
completeness_PARTIAL_2026-08-02T18:05:00+03:00,2026-08-02 18:05:00+03:00,completeness_PARTIAL,PARTIAL,Degraded,57.188844267804456,30.0,PARTIAL,58.59965013653731,Degraded
data_quality_event_2026-06-18T12:10:00+03:00,2026-06-18 12:10:00+03:00,data_quality_event,FAILED,,,30.0,FAILED,,
