sample_id,computed_ts,selection_reason,boundary_channel,baseline_class_hfis,baseline_index_hfis,baseline_class_crisp_max,baseline_index_crisp_max,baseline_class_crisp_class_max,baseline_index_crisp_class_max,baseline_class_weighted_mean,baseline_index_weighted_mean
boundary_humidity_2026-06-18T18:20:00+03:00,2026-06-18 18:20:00+03:00,boundary_adjacent,humidity,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
boundary_temperature_2026-06-18T22:00:00+03:00,2026-06-18 22:00:00+03:00,boundary_adjacent,temperature,Acceptable,25.23765901548696,Acceptable,25.23765901548696,Acceptable,37.5,Favourable,18.840844433116615
random_2026-06-19T06:35:00+03:00,2026-06-19 06:35:00+03:00,random_comparison,,Acceptable,27.624689291867913,Acceptable,27.624689291867913,Acceptable,37.5,Favourable,17.504249664453482
random_2026-06-19T15:45:00+03:00,2026-06-19 15:45:00+03:00,random_comparison,,Degraded,51.6677785190128,Degraded,51.6677785190128,Degraded,62.5,Acceptable,25.518612740168447
boundary_temperature_2026-06-19T21:15:00+03:00,2026-06-19 21:15:00+03:00,boundary_adjacent,temperature,Degraded,74.92810699588492,Degraded,74.92810699588492,Critical,87.5,Acceptable,33.272055565792485
boundary_temperature_2026-06-24T11:05:00+03:00,2026-06-24 11:05:00+03:00,boundary_adjacent,temperature,Degraded,74.86160493827165,Degraded,74.86160493827165,Critical,87.5,Acceptable,33.24988821325473
random_2026-06-24T21:30:00+03:00,2026-06-24 21:30:00+03:00,random_comparison,,Critical,87.55597014925372,Critical,87.55597014925372,Critical,87.5,Acceptable,37.481343283582085
random_2026-07-01T12:15:00+03:00,2026-07-01 12:15:00+03:00,random_comparison,,Acceptable,29.35864392623425,Acceptable,29.35864392623425,Acceptable,37.5,Favourable,20.90133688849026
boundary_temperature_2026-07-06T23:05:00+03:00,2026-07-06 23:05:00+03:00,boundary_adjacent,temperature,Degraded,74.70471987278445,Degraded,74.70471987278445,Degraded,62.5,Degraded,68.60235993639222
boundary_co2_2026-07-07T02:00:00+03:00,2026-07-07 02:00:00+03:00,boundary_adjacent,co2,Degraded,62.5,Degraded,62.5,Degraded,62.5,Acceptable,33.377433818561514
random_2026-07-07T11:35:00+03:00,2026-07-07 11:35:00+03:00,random_comparison,,Favourable,12.444029850746269,Favourable,12.444029850746269,Favourable,12.5,Favourable,12.444029850746269
random_2026-07-09T08:55:00+03:00,2026-07-09 08:55:00+03:00,random_comparison,,Acceptable,37.5,Acceptable,37.5,Acceptable,37.5,Favourable,20.796019900497512
boundary_humidity_2026-07-11T11:35:00+03:00,2026-07-11 11:35:00+03:00,boundary_adjacent,humidity,Acceptable,25.193621813511644,Acceptable,25.193621813511644,Acceptable,37.5,Favourable,16.693893838334727
boundary_temperature_2026-07-11T18:55:00+03:00,2026-07-11 18:55:00+03:00,boundary_adjacent,temperature,Acceptable,25.1217695473252,Acceptable,25.1217695473252,Favourable,12.5,Favourable,16.669943082939245
boundary_humidity_2026-07-12T06:40:00+03:00,2026-07-12 06:40:00+03:00,boundary_adjacent,humidity,Acceptable,25.190055005251917,Acceptable,25.190055005251917,Acceptable,37.5,Favourable,16.692704902248153
boundary_temperature_2026-07-12T16:35:00+03:00,2026-07-12 16:35:00+03:00,boundary_adjacent,temperature,Critical,87.31380921688688,Critical,87.32741096718512,Critical,87.5,Degraded,51.17650123808227
boundary_temperature_2026-07-15T15:55:00+03:00,2026-07-15 15:55:00+03:00,boundary_adjacent,temperature,Degraded,74.73764654755202,Degraded,74.73764654755202,Degraded,62.5,Acceptable,33.20856874968152
boundary_temperature_2026-07-15T21:10:00+03:00,2026-07-15 21:10:00+03:00,boundary_adjacent,temperature,Degraded,74.83666666666697,Degraded,74.83666666666697,Critical,87.5,Acceptable,33.24157545605317
random_2026-07-16T17:25:00+03:00,2026-07-16 17:25:00+03:00,random_comparison,,Critical,87.55597014925372,Critical,87.55597014925372,Critical,87.5,Acceptable,37.481343283582085
boundary_humidity_2026-07-17T02:35:00+03:00,2026-07-17 02:35:00+03:00,boundary_adjacent,humidity,Degraded,62.49999999999999,Degraded,62.49999999999999,Degraded,62.5,Acceptable,30.81741732715534
boundary_temperature_2026-07-18T09:55:00+03:00,2026-07-18 09:55:00+03:00,boundary_adjacent,temperature,Degraded,74.69648806858592,Degraded,74.69648806858592,Degraded,62.5,Acceptable,33.19484925669282
boundary_temperature_2026-07-18T22:20:00+03:00,2026-07-18 22:20:00+03:00,boundary_adjacent,temperature,Degraded,74.88654320987689,Degraded,74.88654320987689,Critical,87.5,Acceptable,33.25820097045648
boundary_temperature_2026-07-21T02:20:00+03:00,2026-07-21 02:20:00+03:00,boundary_adjacent,temperature,Acceptable,25.113456790123987,Acceptable,25.113456790123987,Favourable,12.5,Favourable,16.667172163872177
random_2026-07-25T02:00:00+03:00,2026-07-25 02:00:00+03:00,random_comparison,,Acceptable,37.5,Acceptable,37.5,Acceptable,37.5,Favourable,20.796019900497512
boundary_temperature_2026-07-27T10:25:00+03:00,2026-07-27 10:25:00+03:00,boundary_adjacent,temperature,Acceptable,25.088518518518395,Acceptable,25.088518518518395,Favourable,12.5,Favourable,16.658859406670313
boundary_humidity_2026-07-28T10:20:00+03:00,2026-07-28 10:20:00+03:00,boundary_adjacent,humidity,Acceptable,25.185223593964412,Acceptable,25.185223593964412,Favourable,12.5,Favourable,18.814626722355342
boundary_humidity_2026-07-31T01:40:00+03:00,2026-07-31 01:40:00+03:00,boundary_adjacent,humidity,Acceptable,25.192387147962226,Acceptable,25.192387147962226,Acceptable,37.5,Favourable,16.693482283151585
boundary_temperature_2026-07-31T15:25:00+03:00,2026-07-31 15:25:00+03:00,boundary_adjacent,temperature,Degraded,74.82004115226312,Degraded,74.82004115226312,Critical,87.5,Acceptable,33.23603361791855
random_2026-08-02T06:15:00+03:00,2026-08-02 06:15:00+03:00,random_comparison,,Degraded,71.02565508484318,Degraded,71.02565508484318,Degraded,62.5,Acceptable,31.971238262111907
random_2026-08-03T04:45:00+03:00,2026-08-03 04:45:00+03:00,random_comparison,,Critical,87.55597014925372,Critical,87.55597014925372,Critical,87.5,Acceptable,45.833333333333336
