sample_id,method,trial_index,trial_class,trial_index_value,changed_from_baseline,abs_index_change
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,0,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,1,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,2,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,3,Critical,87.5,True,25.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,4,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,5,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,6,Critical,87.5,True,25.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,7,Critical,87.5,True,25.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,8,Critical,87.5,True,25.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,9,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,10,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,11,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,12,Critical,87.5,True,25.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,13,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,14,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,15,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,16,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,17,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,18,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,19,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,20,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,21,Degraded,62.5,False,0.0
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,22,Degraded,62.5,False,0.0
