file,column,dtype,unit,description
index_timeseries.csv,computed_ts,datetime,UTC timestamp,Instant the index was computed for (end of the rolling window).
index_timeseries.csv,window_minutes,int,minutes,Aggregation window size used for this row.
index_timeseries.csv,completeness_status,str,-,OK | PARTIAL | FAILED.
index_timeseries.csv,index_value,float,0-100,Defuzzified PROPOSED_HFIS index value; null if FAILED.
index_timeseries.csv,index_class,str,-,Favourable | Acceptable | Degraded | Critical; null if FAILED.
index_timeseries.csv,dominant_component,str,-,"Single, deterministically-chosen dominant adverse component (A/V/M) from the priority hierarchy; null if FAILED or no rule fired."
index_timeseries.csv,co_dominant_components,str,-,Semicolon-joined component(s) tied for dominance (includes dominant_component); length 1 unless a documented tie survived every step.
index_timeseries.csv,worst_component_class,str,-,Highest-severity class reached by any available component's own dominant class.
index_timeseries.csv,largest_component_score,float,0-100,max(component crisp scores) among available components.
index_timeseries.csv,dominance_reason,str,-,Which step of the priority hierarchy resolved dominant_component (see fuzzy_engine.determine_dominance).
index_timeseries.csv,rule_level_contributors,str,-,Diagnostic only: semicolon-joined component(s) that bound the min() in fired rules -- NOT the dominant adverse component.
index_timeseries.csv,n_rules_fired,int,count,Number of Mamdani rules with nonzero firing strength.
component_scores_timeseries.csv,computed_ts,datetime,UTC timestamp,Instant the component was computed for.
component_scores_timeseries.csv,window_minutes,int,minutes,Aggregation window size used.
component_scores_timeseries.csv,component,str,-,A (aerosol) | V (ventilation) | M (microclimate).
component_scores_timeseries.csv,available,bool,-,Whether this component had sufficient coverage to be computed.
component_scores_timeseries.csv,crisp_score,float,0-100,Centroid crisp score on the same scale as the final index; null if unavailable.
component_scores_timeseries.csv,membership_favorable,float,0-1,Degree of membership in Favourable.
component_scores_timeseries.csv,membership_acceptable,float,0-1,Degree of membership in Acceptable.
component_scores_timeseries.csv,membership_degraded,float,0-1,Degree of membership in Degraded.
component_scores_timeseries.csv,membership_critical,float,0-1,Degree of membership in Critical.
component_scores_timeseries.csv,room,str,-,Room profile used for the microclimate component (temperature range selection).
component_scores_timeseries.csv,season,str,-,Season profile used (cold_period | warm_period).
