day,completeness_status,n
2026-06-18,FAILED,175
2026-06-18,OK,29
2026-06-18,PARTIAL,83
2026-06-19,OK,271
2026-06-19,PARTIAL,17
2026-06-20,OK,275
2026-06-20,PARTIAL,13
2026-06-21,FAILED,32
2026-06-21,OK,208
2026-06-21,PARTIAL,48
2026-06-22,FAILED,12
2026-06-22,OK,226
2026-06-22,PARTIAL,50
2026-06-23,OK,276
2026-06-23,PARTIAL,12
2026-06-24,FAILED,3
2026-06-24,OK,247
2026-06-24,PARTIAL,38
2026-06-25,FAILED,39
2026-06-25,OK,240
2026-06-25,PARTIAL,9
2026-06-26,FAILED,12
2026-06-26,OK,272
2026-06-26,PARTIAL,4
2026-06-27,OK,280
2026-06-27,PARTIAL,8
2026-06-28,OK,255
2026-06-28,PARTIAL,33
2026-06-29,OK,276
2026-06-29,PARTIAL,12
2026-06-30,FAILED,66
2026-06-30,OK,218
2026-06-30,PARTIAL,4
2026-07-01,FAILED,160
2026-07-01,OK,105
2026-07-01,PARTIAL,23
2026-07-02,FAILED,4
2026-07-02,OK,271
2026-07-02,PARTIAL,13
2026-07-03,FAILED,67
2026-07-03,OK,218
2026-07-03,PARTIAL,3
2026-07-04,FAILED,143
2026-07-04,OK,145
2026-07-05,OK,288
2026-07-06,OK,279
2026-07-06,PARTIAL,9
2026-07-07,OK,288
2026-07-08,FAILED,6
2026-07-08,OK,237
2026-07-08,PARTIAL,45
2026-07-09,OK,288
2026-07-10,OK,275
2026-07-10,PARTIAL,13
2026-07-11,OK,275
2026-07-11,PARTIAL,13
2026-07-12,OK,286
2026-07-12,PARTIAL,2
2026-07-13,OK,288
2026-07-14,OK,284
2026-07-14,PARTIAL,4
2026-07-15,OK,277
2026-07-15,PARTIAL,11
2026-07-16,OK,280
2026-07-16,PARTIAL,8
2026-07-17,OK,288
2026-07-18,OK,288
2026-07-19,OK,285
2026-07-19,PARTIAL,3
2026-07-20,OK,288
2026-07-21,FAILED,5
2026-07-21,OK,281
2026-07-21,PARTIAL,2
2026-07-22,OK,288
2026-07-23,OK,288
2026-07-24,OK,285
2026-07-24,PARTIAL,3
2026-07-25,OK,275
2026-07-25,PARTIAL,13
2026-07-26,OK,278
2026-07-26,PARTIAL,10
2026-07-27,FAILED,9
2026-07-27,OK,247
2026-07-27,PARTIAL,32
2026-07-28,FAILED,9
2026-07-28,OK,177
2026-07-28,PARTIAL,102
2026-07-29,OK,286
2026-07-29,PARTIAL,2
2026-07-30,OK,288
2026-07-31,FAILED,3
2026-07-31,OK,249
2026-07-31,PARTIAL,36
2026-08-01,OK,280
2026-08-01,PARTIAL,8
2026-08-02,OK,274
2026-08-02,PARTIAL,14
2026-08-03,OK,252
2026-08-03,PARTIAL,36
2026-08-04,OK,218
2026-08-04,PARTIAL,70
2026-08-05,OK,268
2026-08-05,PARTIAL,20
2026-08-06,OK,267
2026-08-06,PARTIAL,21
2026-08-07,FAILED,1
2026-08-07,OK,268
2026-08-07,PARTIAL,19
2026-08-08,OK,263
2026-08-08,PARTIAL,25
2026-08-09,OK,288
2026-08-10,OK,284
2026-08-10,PARTIAL,4
2026-08-11,OK,288
2026-08-12,OK,278
2026-08-12,PARTIAL,10
2026-08-13,OK,271
2026-08-13,PARTIAL,17
2026-08-14,OK,285
2026-08-14,PARTIAL,3
2026-08-15,OK,210
2026-08-15,PARTIAL,78
2026-08-16,PARTIAL,1
