hour,completeness_status,n
0,FAILED,50
0,OK,629
0,PARTIAL,29
1,FAILED,53
1,OK,632
1,PARTIAL,23
2,FAILED,55
2,OK,622
2,PARTIAL,31
3,FAILED,41
3,OK,628
3,PARTIAL,39
4,FAILED,38
4,OK,636
4,PARTIAL,34
5,FAILED,40
5,OK,650
5,PARTIAL,18
6,FAILED,38
6,OK,650
6,PARTIAL,20
7,FAILED,38
7,OK,642
7,PARTIAL,28
8,FAILED,30
8,OK,635
8,PARTIAL,43
9,FAILED,38
9,OK,623
9,PARTIAL,47
10,FAILED,44
10,OK,605
10,PARTIAL,59
11,FAILED,46
11,OK,611
11,PARTIAL,51
12,FAILED,24
12,OK,629
12,PARTIAL,55
13,FAILED,18
13,OK,635
13,PARTIAL,55
14,FAILED,4
14,OK,642
14,PARTIAL,62
15,FAILED,9
15,OK,647
15,PARTIAL,52
16,FAILED,16
16,OK,630
16,PARTIAL,62
17,FAILED,1
17,OK,675
17,PARTIAL,32
18,FAILED,13
18,OK,660
18,PARTIAL,35
19,FAILED,29
19,OK,617
19,PARTIAL,62
20,FAILED,33
20,OK,606
20,PARTIAL,69
21,FAILED,28
21,OK,632
21,PARTIAL,48
22,FAILED,28
22,OK,658
22,PARTIAL,22
23,FAILED,32
23,OK,648
23,PARTIAL,28
