start_ts,end_ts,n_steps,duration_seconds,statuses_present
2026-06-18 00:05:00+00:00,2026-06-18 21:30:00+00:00,258,77100.0,FAILED+PARTIAL
2026-06-19 01:10:00+00:00,2026-06-19 01:10:00+00:00,1,0.0,PARTIAL
2026-06-19 01:55:00+00:00,2026-06-19 02:00:00+00:00,2,300.0,PARTIAL
2026-06-19 02:35:00+00:00,2026-06-19 02:35:00+00:00,1,0.0,PARTIAL
2026-06-19 10:45:00+00:00,2026-06-19 10:55:00+00:00,3,600.0,PARTIAL
2026-06-19 11:50:00+00:00,2026-06-19 11:50:00+00:00,1,0.0,PARTIAL
2026-06-19 15:25:00+00:00,2026-06-19 15:40:00+00:00,4,900.0,PARTIAL
2026-06-19 16:50:00+00:00,2026-06-19 17:05:00+00:00,4,900.0,PARTIAL
2026-06-19 17:15:00+00:00,2026-06-19 17:15:00+00:00,1,0.0,PARTIAL
2026-06-20 10:30:00+00:00,2026-06-20 10:35:00+00:00,2,300.0,PARTIAL
2026-06-20 10:55:00+00:00,2026-06-20 10:55:00+00:00,1,0.0,PARTIAL
2026-06-20 16:15:00+00:00,2026-06-20 17:00:00+00:00,10,2700.0,PARTIAL
2026-06-21 01:55:00+00:00,2026-06-21 01:55:00+00:00,1,0.0,PARTIAL
2026-06-21 03:05:00+00:00,2026-06-21 03:15:00+00:00,3,600.0,PARTIAL
2026-06-21 07:55:00+00:00,2026-06-21 07:55:00+00:00,1,0.0,PARTIAL
2026-06-21 08:10:00+00:00,2026-06-21 08:15:00+00:00,2,300.0,PARTIAL
2026-06-21 08:40:00+00:00,2026-06-21 08:40:00+00:00,1,0.0,PARTIAL
2026-06-21 08:55:00+00:00,2026-06-21 09:00:00+00:00,2,300.0,PARTIAL
2026-06-21 09:10:00+00:00,2026-06-21 09:25:00+00:00,4,900.0,PARTIAL
2026-06-21 09:40:00+00:00,2026-06-21 10:00:00+00:00,5,1200.0,PARTIAL
2026-06-21 10:15:00+00:00,2026-06-21 14:25:00+00:00,51,15000.0,FAILED+PARTIAL
2026-06-21 14:45:00+00:00,2026-06-21 14:50:00+00:00,2,300.0,PARTIAL
2026-06-21 16:05:00+00:00,2026-06-21 16:10:00+00:00,2,300.0,PARTIAL
2026-06-21 18:55:00+00:00,2026-06-21 19:20:00+00:00,6,1500.0,PARTIAL
2026-06-22 08:20:00+00:00,2026-06-22 08:25:00+00:00,2,300.0,PARTIAL
2026-06-22 08:40:00+00:00,2026-06-22 08:40:00+00:00,1,0.0,PARTIAL
2026-06-22 09:05:00+00:00,2026-06-22 11:50:00+00:00,34,9900.0,FAILED+PARTIAL
2026-06-22 12:00:00+00:00,2026-06-22 12:05:00+00:00,2,300.0,PARTIAL
2026-06-22 12:20:00+00:00,2026-06-22 12:35:00+00:00,4,900.0,FAILED
2026-06-22 12:45:00+00:00,2026-06-22 13:05:00+00:00,5,1200.0,PARTIAL
2026-06-22 14:35:00+00:00,2026-06-22 14:40:00+00:00,2,300.0,PARTIAL
2026-06-22 20:45:00+00:00,2026-06-22 20:55:00+00:00,3,600.0,PARTIAL
2026-06-22 21:10:00+00:00,2026-06-22 21:25:00+00:00,4,900.0,PARTIAL
2026-06-22 21:35:00+00:00,2026-06-22 21:45:00+00:00,3,600.0,PARTIAL
2026-06-22 23:45:00+00:00,2026-06-22 23:50:00+00:00,2,300.0,PARTIAL
2026-06-23 13:40:00+00:00,2026-06-23 13:45:00+00:00,2,300.0,PARTIAL
2026-06-23 14:25:00+00:00,2026-06-23 14:50:00+00:00,6,1500.0,PARTIAL
2026-06-23 15:00:00+00:00,2026-06-23 15:00:00+00:00,1,0.0,PARTIAL
2026-06-23 17:00:00+00:00,2026-06-23 17:05:00+00:00,2,300.0,PARTIAL
2026-06-23 21:35:00+00:00,2026-06-23 21:35:00+00:00,1,0.0,PARTIAL
2026-06-24 00:00:00+00:00,2026-06-24 00:55:00+00:00,12,3300.0,PARTIAL
2026-06-24 02:10:00+00:00,2026-06-24 02:10:00+00:00,1,0.0,PARTIAL
2026-06-24 03:05:00+00:00,2026-06-24 03:55:00+00:00,11,3000.0,PARTIAL
2026-06-24 04:15:00+00:00,2026-06-24 04:15:00+00:00,1,0.0,PARTIAL
2026-06-24 04:30:00+00:00,2026-06-24 04:30:00+00:00,1,0.0,PARTIAL
2026-06-24 12:05:00+00:00,2026-06-24 12:05:00+00:00,1,0.0,PARTIAL
2026-06-24 14:50:00+00:00,2026-06-24 14:55:00+00:00,2,300.0,PARTIAL
2026-06-24 15:10:00+00:00,2026-06-24 15:10:00+00:00,1,0.0,PARTIAL
2026-06-24 15:40:00+00:00,2026-06-24 15:45:00+00:00,2,300.0,PARTIAL
2026-06-24 19:05:00+00:00,2026-06-24 19:20:00+00:00,4,900.0,PARTIAL
2026-06-24 19:30:00+00:00,2026-06-24 19:35:00+00:00,2,300.0,PARTIAL
2026-06-24 23:45:00+00:00,2026-06-25 03:15:00+00:00,43,12600.0,FAILED+PARTIAL
2026-06-25 14:40:00+00:00,2026-06-25 14:50:00+00:00,3,600.0,PARTIAL
2026-06-25 15:20:00+00:00,2026-06-25 15:25:00+00:00,2,300.0,PARTIAL
2026-06-25 16:05:00+00:00,2026-06-25 16:05:00+00:00,1,0.0,PARTIAL
2026-06-25 19:50:00+00:00,2026-06-25 19:55:00+00:00,2,300.0,PARTIAL
2026-06-26 01:35:00+00:00,2026-06-26 02:40:00+00:00,14,3900.0,FAILED+PARTIAL
2026-06-26 14:55:00+00:00,2026-06-26 14:55:00+00:00,1,0.0,PARTIAL
2026-06-26 16:05:00+00:00,2026-06-26 16:05:00+00:00,1,0.0,PARTIAL
2026-06-27 10:35:00+00:00,2026-06-27 10:35:00+00:00,1,0.0,PARTIAL
2026-06-27 17:30:00+00:00,2026-06-27 17:35:00+00:00,2,300.0,PARTIAL
2026-06-27 19:50:00+00:00,2026-06-27 20:10:00+00:00,5,1200.0,PARTIAL
2026-06-28 00:30:00+00:00,2026-06-28 00:30:00+00:00,1,0.0,PARTIAL
2026-06-28 01:55:00+00:00,2026-06-28 01:55:00+00:00,1,0.0,PARTIAL
2026-06-28 03:15:00+00:00,2026-06-28 03:35:00+00:00,5,1200.0,PARTIAL
2026-06-28 04:10:00+00:00,2026-06-28 04:20:00+00:00,3,600.0,PARTIAL
2026-06-28 06:25:00+00:00,2026-06-28 07:25:00+00:00,13,3600.0,PARTIAL
2026-06-28 07:35:00+00:00,2026-06-28 07:45:00+00:00,3,600.0,PARTIAL
2026-06-28 08:05:00+00:00,2026-06-28 08:05:00+00:00,1,0.0,PARTIAL
2026-06-28 08:20:00+00:00,2026-06-28 08:20:00+00:00,1,0.0,PARTIAL
2026-06-28 10:10:00+00:00,2026-06-28 10:10:00+00:00,1,0.0,PARTIAL
2026-06-28 21:45:00+00:00,2026-06-28 21:55:00+00:00,3,600.0,PARTIAL
2026-06-28 22:50:00+00:00,2026-06-28 22:50:00+00:00,1,0.0,PARTIAL
2026-06-29 14:25:00+00:00,2026-06-29 14:35:00+00:00,3,600.0,PARTIAL
2026-06-29 19:35:00+00:00,2026-06-29 19:35:00+00:00,1,0.0,PARTIAL
2026-06-29 19:45:00+00:00,2026-06-29 19:55:00+00:00,3,600.0,PARTIAL
2026-06-29 20:05:00+00:00,2026-06-29 20:15:00+00:00,3,600.0,PARTIAL
2026-06-29 20:40:00+00:00,2026-06-29 20:45:00+00:00,2,300.0,PARTIAL
2026-06-30 08:05:00+00:00,2026-06-30 08:05:00+00:00,1,0.0,PARTIAL
2026-06-30 08:50:00+00:00,2026-06-30 08:55:00+00:00,2,300.0,PARTIAL
2026-06-30 16:10:00+00:00,2026-06-30 16:10:00+00:00,1,0.0,PARTIAL
2026-06-30 18:30:00+00:00,2026-07-01 07:40:00+00:00,159,47400.0,FAILED
2026-07-01 08:00:00+00:00,2026-07-01 08:10:00+00:00,3,600.0,FAILED+PARTIAL
2026-07-01 08:25:00+00:00,2026-07-01 08:40:00+00:00,4,900.0,FAILED+PARTIAL
2026-07-01 08:50:00+00:00,2026-07-01 08:50:00+00:00,1,0.0,FAILED
2026-07-01 09:00:00+00:00,2026-07-01 14:15:00+00:00,64,18900.0,FAILED+PARTIAL
2026-07-01 14:45:00+00:00,2026-07-01 15:05:00+00:00,5,1200.0,PARTIAL
2026-07-01 15:30:00+00:00,2026-07-01 16:05:00+00:00,8,2100.0,FAILED+PARTIAL
2026-07-01 16:15:00+00:00,2026-07-01 16:20:00+00:00,2,300.0,FAILED
2026-07-01 16:45:00+00:00,2026-07-01 16:45:00+00:00,1,0.0,PARTIAL
2026-07-01 20:45:00+00:00,2026-07-01 20:50:00+00:00,2,300.0,PARTIAL
2026-07-02 00:40:00+00:00,2026-07-02 00:50:00+00:00,3,600.0,PARTIAL
2026-07-02 03:35:00+00:00,2026-07-02 03:50:00+00:00,4,900.0,PARTIAL
2026-07-02 04:00:00+00:00,2026-07-02 04:00:00+00:00,1,0.0,PARTIAL
