channel,stage2_state,n,rate
co2,INVALID,7999,0.04706955396022126
co2,MISSING,594,0.0034953513004589857
co2,SUSPECT,12900,0.07590914440390727
co2,VALID,148447,0.8735259503354125
humidity,INVALID,5940,0.034953513004589855
humidity,MISSING,594,0.0034953513004589857
humidity,SUSPECT,13151,0.07738613628339414
humidity,VALID,150255,0.884164999411557
pm10,INVALID,7324,0.043097563846063315
pm10,MISSING,603,0.003548311168647758
pm10,SUSPECT,6155,0.03621866541132164
pm10,VALID,155858,0.9171354595739672
pm2_5,INVALID,7292,0.04290926209250324
pm2_5,MISSING,603,0.003548311168647758
pm2_5,SUSPECT,6379,0.0375367776862422
pm2_5,VALID,155666,0.9160056490526068
temperature,INVALID,5940,0.034953513004589855
temperature,MISSING,594,0.0034953513004589857
temperature,SUSPECT,45851,0.2698069907026009
temperature,VALID,117555,0.6917441449923503
