masking_case,strategy,n_reps,n_days,mae_point,mae_ci_low,mae_ci_high,class_agreement_ci_low,class_agreement_ci_high
component:A,drop,10000,18,,,,,
component:A,favourable_value,10000,18,0.011708184400384682,0.0028483376984974385,0.02263210748739052,1.0,1.0
component:A,locf,10000,18,0.0039113898583533315,0.0009671379082351556,0.007688838777121174,1.0,1.0
component:A,mean_imputation,10000,18,0.011708184400384682,0.002892070816330447,0.02285347895090149,1.0,1.0
component:A,proposed,10000,18,0.011708184400384682,0.0027976188544711735,0.022884263997225995,1.0,1.0
component:M,drop,10000,18,,,,,
component:M,favourable_value,10000,18,43.60169711065657,35.778910955746255,51.31833127011184,0.10526315789473684,0.31624218051831987
component:M,locf,10000,18,0.8961785603408887,0.41705236244449695,1.5046409891847918,0.9487951807228916,0.981941745595867
component:M,mean_imputation,10000,18,21.08337129712585,17.681021043133562,24.83506734991631,0.16723441823408447,0.3493687068469505
component:M,proposed,10000,18,43.60169711065657,35.678468626634924,51.245310016084254,0.10773092301665564,0.32087411593836823
component:V,drop,10000,18,,,,,
component:V,favourable_value,10000,18,0.6231666768424168,0.02126621686234952,1.6156835715967903,0.9401709401709402,1.0
component:V,locf,10000,18,0.07200515748782978,0.009472038072835576,0.1596945199367628,1.0,1.0
component:V,mean_imputation,10000,18,0.6231666768424168,0.022440477003398893,1.6417375412377746,0.9392957091438509,1.0
component:V,proposed,10000,18,0.6231666768424168,0.022137776418781875,1.5960480612256307,0.9410185784860078,1.0
direct_input:co2,drop,10000,18,,,,,
direct_input:co2,favourable_value,10000,18,0.6231666768424168,0.024139367229636315,1.6127648685638947,0.940379403794038,1.0
direct_input:co2,locf,10000,18,0.07200515748782978,0.009527807077245863,0.15890730798160868,1.0,1.0
direct_input:co2,mean_imputation,10000,18,0.6231666768424168,0.021880664180235567,1.6367472210698166,0.9393917498686285,1.0
direct_input:co2,proposed,10000,18,0.6231666768424168,0.022066820188149424,1.6188797891382594,0.9398280802292264,1.0
direct_input:humidity,drop,10000,18,,,,,
direct_input:humidity,favourable_value,10000,18,0.2594225826287424,0.010694672168668833,0.7212739484082218,0.9697732997481109,1.0
direct_input:humidity,locf,10000,18,0.00739206825985455,0.0018979874518386475,0.01684387948086689,0.981189743893062,1.0
direct_input:humidity,mean_imputation,10000,18,0.2594225826287424,0.010844992407052051,0.7471247057298364,0.96875,1.0
direct_input:humidity,proposed,10000,18,43.60169711065657,35.57624566795241,51.19355214672162,0.11025641025641025,0.31977979176166577
direct_input:pm10,drop,10000,18,,,,,
direct_input:pm10,favourable_value,10000,18,0.003419254716680737,6.60291489665198e-05,0.007628682374414773,1.0,1.0
direct_input:pm10,locf,10000,18,0.000977109756555884,6.532740006007787e-05,0.002268686397199832,1.0,1.0
direct_input:pm10,mean_imputation,10000,18,0.003419254716680737,4.588323631419937e-05,0.007560305258311364,1.0,1.0
direct_input:pm10,proposed,10000,18,0.011708184400384682,0.0029057063017129525,0.02277977008665946,1.0,1.0
direct_input:pm2_5,drop,10000,18,,,,,
direct_input:pm2_5,favourable_value,10000,18,0.008288929683703946,0.0017429714361309218,0.01631729522585305,1.0,1.0
direct_input:pm2_5,locf,10000,18,0.0029342801017974473,0.0007374576338514064,0.005693234039237523,1.0,1.0
direct_input:pm2_5,mean_imputation,10000,18,0.008288929683703946,0.0017836096593090876,0.016654802376433908,1.0,1.0
direct_input:pm2_5,proposed,10000,18,0.011708184400384682,0.00290727793555001,0.022573840743452055,1.0,1.0
direct_input:temperature,drop,10000,18,,,,,
direct_input:temperature,favourable_value,10000,18,42.00530475472221,33.67686608629808,50.065794686909335,0.11466624203821656,0.33967879724353506
direct_input:temperature,locf,10000,18,0.8938025396466892,0.42286097665088374,1.5080374561168364,0.9579288025889967,0.9857549857549858
direct_input:temperature,mean_imputation,10000,18,21.08174073647646,17.60244387204074,24.860023191747523,0.1671309192200557,0.34951456310679613
direct_input:temperature,proposed,10000,18,43.60169711065657,35.69224074096405,51.47529275461007,0.10714285714285714,0.3183183183183183
