day,n_critical,n_dominant_A,n_dominant_V,n_dominant_M,n_ties
2026-06-19,37,0,0,37,37
2026-06-20,74,0,0,74,74
2026-06-21,64,0,0,64,64
2026-06-22,125,14,5,106,125
2026-06-23,197,67,7,123,197
2026-06-24,190,0,1,189,190
2026-06-25,208,9,6,193,208
2026-06-26,272,15,1,256,272
2026-06-27,280,44,38,198,280
2026-06-28,259,99,25,135,259
2026-06-29,272,115,2,155,272
2026-06-30,254,45,14,195,254
2026-07-01,69,36,0,33,69
2026-07-02,272,67,5,200,272
2026-07-03,243,0,0,243,243
2026-07-04,109,0,0,109,109
2026-07-05,192,0,0,192,192
2026-07-06,27,3,0,24,27
2026-07-07,16,5,2,9,16
2026-07-10,2,1,1,0,2
2026-07-11,6,6,0,0,6
2026-07-12,20,5,8,7,20
2026-07-14,5,0,0,5,5
2026-07-15,72,3,0,69,72
2026-07-16,110,18,0,92,110
2026-07-17,174,22,1,151,174
2026-07-18,176,6,0,170,176
2026-07-19,95,19,9,67,95
2026-07-20,31,0,0,31,31
2026-07-21,16,3,3,10,16
2026-07-22,9,6,1,2,9
2026-07-23,10,2,5,3,10
2026-07-26,49,5,2,42,49
2026-07-27,9,6,1,2,9
2026-07-29,53,10,0,43,53
2026-07-30,58,0,0,58,58
2026-07-31,101,11,16,74,101
2026-08-01,122,0,6,116,122
2026-08-02,232,58,7,167,232
2026-08-03,256,174,6,76,256
2026-08-04,216,125,0,91,216
2026-08-05,268,216,9,43,268
2026-08-06,265,185,24,56,265
2026-08-07,271,38,5,228,271
2026-08-08,243,0,14,229,243
2026-08-09,192,0,9,183,192
2026-08-10,151,2,57,92,151
2026-08-11,232,0,98,134,232
2026-08-12,126,0,27,99,126
2026-08-13,54,1,5,48,54
2026-08-14,18,0,7,11,18
2026-08-15,39,0,0,39,39
