hour_of_day,n_critical,n_dominant_A,n_dominant_V,n_dominant_M,n_ties
0,296,79,33,184,296
1,243,68,3,172,243
2,224,74,3,147,224
3,187,58,9,120,187
4,172,52,0,120,172
5,144,60,6,78,144
6,142,58,7,77,142
7,147,44,5,98,147
8,181,52,21,108,181
9,213,45,12,156,213
10,248,43,8,197,248
11,275,59,7,209,275
12,281,47,6,228,281
13,276,51,35,190,276
14,306,67,17,222,306
15,336,43,31,262,336
16,378,67,26,285,378
17,417,59,36,322,417
18,441,53,32,356,441
19,437,54,20,363,437
20,461,68,22,371,461
21,386,79,12,295,386
22,325,57,46,222,325
23,325,104,30,191,325
