sample_id,method,n_trials,n_transitions,flapping_rate
boundary_co2_2026-07-07T02:00:00+03:00,CRISP_CLASS_MAX,30,6,0.20689655172413793
boundary_co2_2026-07-07T02:00:00+03:00,FUZZY_COMPONENT_MAX,30,6,0.20689655172413793
boundary_co2_2026-07-07T02:00:00+03:00,PROPOSED_HFIS,30,6,0.20689655172413793
boundary_co2_2026-07-07T02:00:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_humidity_2026-06-18T18:20:00+03:00,CRISP_CLASS_MAX,30,0,0.0
boundary_humidity_2026-06-18T18:20:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
boundary_humidity_2026-06-18T18:20:00+03:00,PROPOSED_HFIS,30,0,0.0
boundary_humidity_2026-06-18T18:20:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_humidity_2026-07-11T11:35:00+03:00,CRISP_CLASS_MAX,30,15,0.5172413793103449
boundary_humidity_2026-07-11T11:35:00+03:00,FUZZY_COMPONENT_MAX,30,13,0.4482758620689655
boundary_humidity_2026-07-11T11:35:00+03:00,PROPOSED_HFIS,30,13,0.4482758620689655
boundary_humidity_2026-07-11T11:35:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_humidity_2026-07-17T02:35:00+03:00,CRISP_CLASS_MAX,30,10,0.3448275862068966
boundary_humidity_2026-07-17T02:35:00+03:00,FUZZY_COMPONENT_MAX,30,10,0.3448275862068966
boundary_humidity_2026-07-17T02:35:00+03:00,PROPOSED_HFIS,30,10,0.3448275862068966
boundary_humidity_2026-07-17T02:35:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_humidity_2026-07-31T01:40:00+03:00,CRISP_CLASS_MAX,30,7,0.2413793103448276
boundary_humidity_2026-07-31T01:40:00+03:00,FUZZY_COMPONENT_MAX,30,7,0.2413793103448276
boundary_humidity_2026-07-31T01:40:00+03:00,PROPOSED_HFIS,30,7,0.2413793103448276
boundary_humidity_2026-07-31T01:40:00+03:00,WEIGHTED_MEAN,30,6,0.20689655172413793
boundary_humidity_2026-08-07T12:40:00+03:00,CRISP_CLASS_MAX,30,0,0.0
boundary_humidity_2026-08-07T12:40:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
boundary_humidity_2026-08-07T12:40:00+03:00,PROPOSED_HFIS,30,0,0.0
boundary_humidity_2026-08-07T12:40:00+03:00,WEIGHTED_MEAN,30,4,0.13793103448275862
boundary_humidity_2026-08-07T20:45:00+03:00,CRISP_CLASS_MAX,30,0,0.0
boundary_humidity_2026-08-07T20:45:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
boundary_humidity_2026-08-07T20:45:00+03:00,PROPOSED_HFIS,30,0,0.0
boundary_humidity_2026-08-07T20:45:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_humidity_2026-08-13T19:40:00+03:00,CRISP_CLASS_MAX,30,0,0.0
boundary_humidity_2026-08-13T19:40:00+03:00,FUZZY_COMPONENT_MAX,30,0,0.0
boundary_humidity_2026-08-13T19:40:00+03:00,PROPOSED_HFIS,30,0,0.0
boundary_humidity_2026-08-13T19:40:00+03:00,WEIGHTED_MEAN,30,0,0.0
boundary_temperature_2026-06-18T22:00:00+03:00,CRISP_CLASS_MAX,30,17,0.5862068965517241
boundary_temperature_2026-06-18T22:00:00+03:00,FUZZY_COMPONENT_MAX,30,17,0.5862068965517241
boundary_temperature_2026-06-18T22:00:00+03:00,PROPOSED_HFIS,30,17,0.5862068965517241
