day,reason_codes,n
2026-06-17,out_of_range,57
2026-06-17,single_spike,1
2026-06-17,stuck_value,19
2026-06-18,data_loss,288
2026-06-18,out_of_range,6424
2026-06-18,single_spike,673
2026-06-18,stuck_value,699
2026-06-19,single_spike,1071
2026-06-19,stuck_value,666
2026-06-20,out_of_range,6
2026-06-20,single_spike,994
2026-06-20,stuck_value,609
2026-06-21,out_of_range,953
2026-06-21,single_spike,825
2026-06-21,stuck_value,376
2026-06-22,data_loss,95
2026-06-22,gradual_drift,19
2026-06-22,out_of_range,212
2026-06-22,single_spike,1069
2026-06-22,stuck_value,382
2026-06-23,gradual_drift,74
2026-06-23,out_of_range,5
2026-06-23,single_spike,1049
2026-06-23,stuck_value,319
2026-06-24,data_loss,160
2026-06-24,single_spike,1044
2026-06-24,stuck_value,362
2026-06-25,data_loss,1820
2026-06-25,gradual_drift,21
2026-06-25,out_of_range,29
2026-06-25,single_spike,911
2026-06-25,stuck_value,136
2026-06-26,data_loss,180
2026-06-26,gradual_drift,36
2026-06-26,out_of_range,373
2026-06-26,single_spike,901
2026-06-26,stuck_value,165
2026-06-27,gradual_drift,44
2026-06-27,out_of_range,101
2026-06-27,single_spike,1224
2026-06-27,stuck_value,276
2026-06-28,out_of_range,10
2026-06-28,single_spike,941
2026-06-28,stuck_value,343
2026-06-29,data_loss,40
2026-06-29,gradual_drift,11
2026-06-29,out_of_range,47
2026-06-29,single_spike,978
2026-06-29,stuck_value,185
2026-06-30,gradual_drift,9
2026-06-30,out_of_range,3457
2026-06-30,single_spike,753
2026-06-30,stuck_value,146
2026-07-01,data_loss,330
2026-07-01,gradual_drift,2
2026-07-01,out_of_range,7056
2026-07-01,single_spike,349
2026-07-01,stuck_value,27
2026-07-02,gradual_drift,8
2026-07-02,out_of_range,111
2026-07-02,single_spike,1083
2026-07-02,stuck_value,286
2026-07-03,gradual_drift,19
2026-07-03,out_of_range,3411
2026-07-03,single_spike,781
2026-07-03,stuck_value,246
2026-07-04,data_loss,20
2026-07-04,out_of_range,7000
2026-07-04,single_spike,518
2026-07-04,stuck_value,191
2026-07-05,out_of_range,1
2026-07-05,single_spike,1052
2026-07-05,stuck_value,537
2026-07-06,gradual_drift,53
2026-07-06,out_of_range,74
2026-07-06,single_spike,998
2026-07-06,stuck_value,325
2026-07-07,gradual_drift,23
2026-07-07,single_spike,1058
2026-07-07,stuck_value,292
2026-07-08,out_of_range,1044
2026-07-08,single_spike,785
2026-07-08,stuck_value,76
2026-07-09,gradual_drift,10
2026-07-09,single_spike,964
2026-07-09,stuck_value,266
2026-07-10,gradual_drift,43
2026-07-10,out_of_range,186
2026-07-10,single_spike,995
2026-07-10,stuck_value,317
2026-07-11,gradual_drift,7
2026-07-11,out_of_range,142
2026-07-11,single_spike,981
2026-07-11,stuck_value,298
2026-07-12,gradual_drift,21
2026-07-12,out_of_range,6
2026-07-12,single_spike,1194
2026-07-12,stuck_value,671
2026-07-13,gradual_drift,11
2026-07-13,single_spike,1029
2026-07-13,stuck_value,442
2026-07-14,gradual_drift,37
2026-07-14,out_of_range,41
2026-07-14,single_spike,1111
2026-07-14,stuck_value,458
2026-07-15,gradual_drift,35
2026-07-15,out_of_range,192
2026-07-15,single_spike,1174
2026-07-15,stuck_value,492
2026-07-16,gradual_drift,20
2026-07-16,single_spike,1103
2026-07-16,stuck_value,663
2026-07-17,gradual_drift,11
2026-07-17,out_of_range,1
2026-07-17,single_spike,1127
2026-07-17,stuck_value,758
2026-07-18,single_spike,1217
2026-07-18,stuck_value,1103
2026-07-19,single_spike,1214
2026-07-19,stuck_value,685
2026-07-20,gradual_drift,14
2026-07-20,single_spike,1043
2026-07-20,stuck_value,212
2026-07-21,gradual_drift,61
2026-07-21,out_of_range,66
2026-07-21,single_spike,1157
2026-07-21,stuck_value,316
2026-07-22,gradual_drift,26
2026-07-22,out_of_range,6
2026-07-22,single_spike,1047
2026-07-22,stuck_value,227
2026-07-23,data_loss,5
2026-07-23,gradual_drift,41
2026-07-23,out_of_range,1
2026-07-23,single_spike,1219
2026-07-23,stuck_value,349
2026-07-24,out_of_range,8
2026-07-24,single_spike,971
2026-07-24,stuck_value,69
2026-07-25,gradual_drift,9
2026-07-25,out_of_range,173
2026-07-25,single_spike,927
2026-07-25,stuck_value,231
2026-07-26,gradual_drift,73
2026-07-26,out_of_range,110
2026-07-26,single_spike,1075
2026-07-26,stuck_value,240
2026-07-27,data_loss,5
2026-07-27,gradual_drift,13
2026-07-27,out_of_range,321
2026-07-27,single_spike,1104
2026-07-27,stuck_value,389
2026-07-28,gradual_drift,25
2026-07-28,out_of_range,1065
2026-07-28,single_spike,956
2026-07-28,stuck_value,106
2026-07-29,gradual_drift,42
2026-07-29,single_spike,1088
2026-07-29,stuck_value,337
2026-07-30,gradual_drift,21
2026-07-30,single_spike,1018
2026-07-30,stuck_value,401
2026-07-31,data_loss,45
2026-07-31,gradual_drift,3
2026-07-31,out_of_range,5
2026-07-31,single_spike,965
2026-07-31,stuck_value,407
2026-08-01,out_of_range,1
2026-08-01,single_spike,1006
2026-08-01,stuck_value,1076
2026-08-02,gradual_drift,2
2026-08-02,single_spike,1106
2026-08-02,stuck_value,947
2026-08-03,gradual_drift,104
2026-08-03,out_of_range,2
2026-08-03,single_spike,1032
2026-08-03,stuck_value,515
2026-08-04,gradual_drift,36
2026-08-04,out_of_range,2
2026-08-04,single_spike,1229
2026-08-04,stuck_value,617
2026-08-05,gradual_drift,47
2026-08-05,out_of_range,36
2026-08-05,single_spike,1077
2026-08-05,stuck_value,614
2026-08-06,gradual_drift,86
2026-08-06,out_of_range,38
2026-08-06,single_spike,1065
2026-08-06,stuck_value,366
2026-08-07,gradual_drift,5
2026-08-07,out_of_range,28
2026-08-07,single_spike,1076
2026-08-07,stuck_value,271
2026-08-08,gradual_drift,10
2026-08-08,single_spike,957
2026-08-08,stuck_value,167
2026-08-09,single_spike,1066
2026-08-09,stuck_value,698
2026-08-10,gradual_drift,19
2026-08-10,out_of_range,1
2026-08-10,single_spike,1162
2026-08-10,stuck_value,239
2026-08-11,gradual_drift,5
2026-08-11,single_spike,1061
2026-08-11,stuck_value,323
2026-08-12,gradual_drift,8
2026-08-12,out_of_range,2
2026-08-12,single_spike,1007
2026-08-12,stuck_value,446
2026-08-13,gradual_drift,111
2026-08-13,out_of_range,105
2026-08-13,single_spike,934
2026-08-13,stuck_value,243
2026-08-14,single_spike,1127
2026-08-14,stuck_value,563
2026-08-15,out_of_range,1584
2026-08-15,single_spike,903
2026-08-15,stuck_value,599
2026-08-16,out_of_range,2
