hour,reason_codes,n
0,data_loss,600
0,out_of_range,1692
0,single_spike,2579
0,stuck_value,1227
1,data_loss,810
1,gradual_drift,2
1,out_of_range,1935
1,single_spike,2528
1,stuck_value,1367
2,data_loss,810
2,gradual_drift,11
2,out_of_range,1751
2,single_spike,2467
2,stuck_value,1453
3,data_loss,20
3,out_of_range,1695
3,single_spike,2545
3,stuck_value,1515
4,gradual_drift,20
4,out_of_range,1806
4,single_spike,2506
4,stuck_value,1360
5,gradual_drift,82
5,out_of_range,1785
5,single_spike,2394
5,stuck_value,1248
6,gradual_drift,50
6,out_of_range,1691
6,single_spike,2582
6,stuck_value,1480
7,data_loss,125
7,gradual_drift,139
7,out_of_range,1379
7,single_spike,2816
7,stuck_value,1324
8,data_loss,110
8,gradual_drift,92
8,out_of_range,1208
8,single_spike,2759
8,stuck_value,1183
9,data_loss,45
9,gradual_drift,92
9,out_of_range,1547
9,single_spike,2690
9,stuck_value,1107
10,gradual_drift,51
10,out_of_range,1846
10,single_spike,2566
10,stuck_value,1271
11,data_loss,30
11,gradual_drift,22
11,out_of_range,1836
11,single_spike,2531
11,stuck_value,1059
12,data_loss,90
12,gradual_drift,67
12,out_of_range,1320
12,single_spike,2481
12,stuck_value,621
13,data_loss,15
13,gradual_drift,53
13,out_of_range,1080
13,single_spike,2315
13,stuck_value,327
14,gradual_drift,4
14,out_of_range,591
14,single_spike,2232
14,stuck_value,408
15,data_loss,35
15,gradual_drift,46
15,out_of_range,343
15,single_spike,2187
15,stuck_value,479
16,data_loss,50
16,gradual_drift,41
16,out_of_range,276
16,single_spike,2471
16,stuck_value,708
17,gradual_drift,27
17,out_of_range,440
17,single_spike,2150
17,stuck_value,413
18,gradual_drift,80
18,out_of_range,1285
18,single_spike,2286
18,stuck_value,409
19,data_loss,40
19,gradual_drift,94
19,out_of_range,2014
19,single_spike,2334
19,stuck_value,678
20,data_loss,15
20,gradual_drift,218
20,out_of_range,2115
20,single_spike,2565
20,stuck_value,751
21,data_loss,33
21,gradual_drift,69
21,out_of_range,1643
21,single_spike,2561
21,stuck_value,991
22,gradual_drift,11
22,out_of_range,1579
22,single_spike,2469
22,stuck_value,1179
23,data_loss,160
23,gradual_drift,4
23,out_of_range,1638
23,single_spike,2531
23,stuck_value,1226
