sensor_channel,reason_codes,n,rate_of_channel_rows
co2,data_loss,594,0.0034953513004589857
co2,gradual_drift,638,0.0037542662116040954
co2,out_of_range,7999,0.04706955396022126
co2,single_spike,12028,0.07077792161939508
co2,stuck_value,305,0.0017947510886195128
humidity,data_loss,594,0.0034953513004589857
humidity,gradual_drift,1,5.8844297987525005e-06
humidity,out_of_range,5940,0.034953513004589855
humidity,single_spike,13098,0.07707426150406026
humidity,stuck_value,53,0.00031187477933388255
pm10,data_loss,603,0.003548311168647758
pm10,gradual_drift,189,0.0011121572319642227
pm10,out_of_range,7324,0.043097563846063315
pm10,single_spike,5992,0.035259503354124984
pm2_5,data_loss,603,0.003548311168647758
pm2_5,gradual_drift,447,0.002630340120042368
pm2_5,out_of_range,7292,0.04290926209250324
pm2_5,single_spike,6002,0.03531834765211251
temperature,data_loss,594,0.0034953513004589857
temperature,out_of_range,5940,0.034953513004589855
temperature,single_spike,22425,0.13195833823702482
temperature,stuck_value,23426,0.1378486524655761
