channel,hour,reason_codes,n
co2,0,data_loss,120
co2,0,out_of_range,490
co2,0,single_spike,434
co2,0,stuck_value,6
co2,1,data_loss,162
co2,1,out_of_range,511
co2,1,single_spike,427
co2,1,stuck_value,19
co2,2,data_loss,162
co2,2,gradual_drift,11
co2,2,out_of_range,493
co2,2,single_spike,444
co2,2,stuck_value,1
co2,3,data_loss,4
co2,3,out_of_range,493
co2,3,single_spike,411
co2,3,stuck_value,11
co2,4,gradual_drift,19
co2,4,out_of_range,482
co2,4,single_spike,477
co2,4,stuck_value,30
co2,5,gradual_drift,79
co2,5,out_of_range,531
co2,5,single_spike,529
co2,5,stuck_value,16
co2,6,gradual_drift,37
co2,6,out_of_range,485
co2,6,single_spike,487
co2,6,stuck_value,27
co2,7,data_loss,25
co2,7,gradual_drift,49
co2,7,out_of_range,424
co2,7,single_spike,506
co2,7,stuck_value,10
co2,8,data_loss,22
co2,8,gradual_drift,51
co2,8,out_of_range,361
co2,8,single_spike,571
co2,8,stuck_value,6
co2,9,data_loss,9
co2,9,gradual_drift,59
co2,9,out_of_range,411
co2,9,single_spike,545
co2,9,stuck_value,5
co2,10,gradual_drift,20
co2,10,out_of_range,486
co2,10,single_spike,488
co2,10,stuck_value,21
co2,11,data_loss,6
co2,11,gradual_drift,11
co2,11,out_of_range,392
co2,11,single_spike,523
co2,11,stuck_value,10
co2,12,data_loss,18
co2,12,gradual_drift,54
co2,12,out_of_range,228
co2,12,single_spike,556
co2,12,stuck_value,10
co2,13,data_loss,3
co2,13,gradual_drift,34
co2,13,out_of_range,174
co2,13,single_spike,515
co2,13,stuck_value,27
co2,14,out_of_range,49
co2,14,single_spike,535
co2,14,stuck_value,17
co2,15,data_loss,7
co2,15,gradual_drift,27
co2,15,out_of_range,46
co2,15,single_spike,538
co2,15,stuck_value,5
co2,16,data_loss,10
co2,16,gradual_drift,11
co2,16,out_of_range,25
co2,16,single_spike,478
co2,16,stuck_value,10
co2,17,gradual_drift,15
co2,17,out_of_range,21
co2,17,single_spike,528
co2,17,stuck_value,15
co2,18,gradual_drift,30
co2,18,out_of_range,171
co2,18,single_spike,546
co2,19,data_loss,8
co2,19,gradual_drift,75
