channel,class_name,shape_kind,side,a,b,c,d,plateau_width,shape_type,max_membership_degree,transition_width_source
pm2_5,Favourable,monotonic_right_shoulder,,-inf,-inf,12.5,17.5,,shoulder,1.0,ctx.static_shapes (real effective config used at inference time)
pm2_5,Acceptable,monotonic_right_shoulder,,12.5,17.5,22.5,27.5,5.0,trapezoidal,1.0,ctx.static_shapes (real effective config used at inference time)
pm2_5,Degraded,monotonic_right_shoulder,,22.5,27.5,47.5,52.5,20.0,trapezoidal,1.0,ctx.static_shapes (real effective config used at inference time)
pm2_5,Critical,monotonic_right_shoulder,,47.5,52.5,inf,inf,,shoulder,1.0,ctx.static_shapes (real effective config used at inference time)
pm10,Favourable,monotonic_right_shoulder,,-inf,-inf,32.5,57.5,,shoulder,1.0,ctx.static_shapes (real effective config used at inference time)
pm10,Acceptable,monotonic_right_shoulder,,32.5,57.5,62.5,87.5,5.0,trapezoidal,1.0,ctx.static_shapes (real effective config used at inference time)
pm10,Degraded,monotonic_right_shoulder,,62.5,87.5,87.5,112.5,0.0,triangular,1.0,ctx.static_shapes (real effective config used at inference time)
pm10,Critical,monotonic_right_shoulder,,87.5,112.5,inf,inf,,shoulder,1.0,ctx.static_shapes (real effective config used at inference time)
co2,Favourable,monotonic_right_shoulder,,-inf,-inf,765.0,835.0,,shoulder,1.0,ctx.static_shapes (real effective config used at inference time)
co2,Acceptable,monotonic_right_shoulder,,765.0,835.0,965.0,1035.0,130.0,trapezoidal,1.0,ctx.static_shapes (real effective config used at inference time)
co2,Degraded,monotonic_right_shoulder,,965.0,1035.0,1465.0,1535.0,430.0,trapezoidal,1.0,ctx.static_shapes (real effective config used at inference time)
co2,Critical,monotonic_right_shoulder,,1465.0,1535.0,inf,inf,,shoulder,1.0,ctx.static_shapes (real effective config used at inference time)
output,Favourable,monotonic_right_shoulder,,-inf,-inf,24.0,26.0,,shoulder,1.0,ctx.static_shapes (real effective config used at inference time)
output,Acceptable,monotonic_right_shoulder,,24.0,26.0,49.0,51.0,23.0,trapezoidal,1.0,ctx.static_shapes (real effective config used at inference time)
