masking_case,dataset_split,strategy,true_index_class,predicted_index_class,count
component:A,calibration,drop,Favourable,Favourable,0
component:A,calibration,drop,Favourable,Acceptable,0
component:A,calibration,drop,Favourable,Degraded,0
component:A,calibration,drop,Favourable,Critical,0
component:A,calibration,drop,Acceptable,Favourable,0
component:A,calibration,drop,Acceptable,Acceptable,0
component:A,calibration,drop,Acceptable,Degraded,0
component:A,calibration,drop,Acceptable,Critical,0
component:A,calibration,drop,Degraded,Favourable,0
component:A,calibration,drop,Degraded,Acceptable,0
component:A,calibration,drop,Degraded,Degraded,0
component:A,calibration,drop,Degraded,Critical,0
component:A,calibration,drop,Critical,Favourable,0
component:A,calibration,drop,Critical,Acceptable,0
component:A,calibration,drop,Critical,Degraded,0
component:A,calibration,drop,Critical,Critical,0
component:A,calibration,favourable_value,Favourable,Favourable,260
component:A,calibration,favourable_value,Favourable,Acceptable,0
component:A,calibration,favourable_value,Favourable,Degraded,0
component:A,calibration,favourable_value,Favourable,Critical,0
component:A,calibration,favourable_value,Acceptable,Favourable,1
component:A,calibration,favourable_value,Acceptable,Acceptable,103
component:A,calibration,favourable_value,Acceptable,Degraded,0
component:A,calibration,favourable_value,Acceptable,Critical,0
component:A,calibration,favourable_value,Degraded,Favourable,4
component:A,calibration,favourable_value,Degraded,Acceptable,0
component:A,calibration,favourable_value,Degraded,Degraded,169
component:A,calibration,favourable_value,Degraded,Critical,0
component:A,calibration,favourable_value,Critical,Favourable,2
component:A,calibration,favourable_value,Critical,Acceptable,1
component:A,calibration,favourable_value,Critical,Degraded,7
component:A,calibration,favourable_value,Critical,Critical,293
component:A,calibration,locf,Favourable,Favourable,259
component:A,calibration,locf,Favourable,Acceptable,1
component:A,calibration,locf,Favourable,Degraded,0
component:A,calibration,locf,Favourable,Critical,0
component:A,calibration,locf,Acceptable,Favourable,0
component:A,calibration,locf,Acceptable,Acceptable,103
component:A,calibration,locf,Acceptable,Degraded,1
component:A,calibration,locf,Acceptable,Critical,0
component:A,calibration,locf,Degraded,Favourable,0
component:A,calibration,locf,Degraded,Acceptable,0
component:A,calibration,locf,Degraded,Degraded,171
component:A,calibration,locf,Degraded,Critical,2
component:A,calibration,locf,Critical,Favourable,0
component:A,calibration,locf,Critical,Acceptable,0
component:A,calibration,locf,Critical,Degraded,0
component:A,calibration,locf,Critical,Critical,303
component:A,calibration,mean_imputation,Favourable,Favourable,260
component:A,calibration,mean_imputation,Favourable,Acceptable,0
component:A,calibration,mean_imputation,Favourable,Degraded,0
component:A,calibration,mean_imputation,Favourable,Critical,0
component:A,calibration,mean_imputation,Acceptable,Favourable,1
