masking_case,dataset_split,strategy,n_instances,n_scored,coverage_loss_rate,mae,rmse,class_agreement_rate,mean_class_severity_diff,underestimation_rate,overestimation_rate,rate_producing_more_adverse_class,n_true_critical_instances,rate_hiding_critical_complete_record_reference,locf_fallback_rate
component:A,calibration,drop,840,0,1.0,,,,,,,,0,,
component:A,calibration,favourable_value,840,840,0.0,0.7062518078829113,5.611337937951467,0.9821428571428571,0.02857142857142857,0.017857142857142856,0.0,0.0,303,0.033003300330033,
component:A,calibration,locf,840,840,0.0,0.11074718047228187,1.421547058348945,0.9952380952380953,0.004761904761904762,0.0,0.004761904761904762,0.004761904761904762,303,0.0,0.0011904761904761906
component:A,calibration,mean_imputation,840,840,0.0,0.7062518078829113,5.611337937951467,0.9821428571428571,0.02857142857142857,0.017857142857142856,0.0,0.0,303,0.033003300330033,
component:A,calibration,proposed,840,840,0.0,0.7062518078829113,5.611337937951467,0.9821428571428571,0.02857142857142857,0.017857142857142856,0.0,0.0,303,0.033003300330033,
component:A,validation,drop,360,0,1.0,,,,,,,,0,,
component:A,validation,favourable_value,360,360,0.0,0.011708184400384675,0.04152935174527733,1.0,0.0,0.0,0.0,0.0,220,0.0,
component:A,validation,locf,360,360,0.0,0.0039113898583533245,0.01760812851612625,1.0,0.0,0.0,0.0,0.0,220,0.0,0.0
component:A,validation,mean_imputation,360,360,0.0,0.011708184400384675,0.04152935174527733,1.0,0.0,0.0,0.0,0.0,220,0.0,
component:A,validation,proposed,360,360,0.0,0.011708184400384675,0.04152935174527733,1.0,0.0,0.0,0.0,0.0,220,0.0,
component:M,calibration,drop,840,0,1.0,,,,,,,,0,,
component:M,calibration,favourable_value,840,840,0.0,35.18088537515631,46.368408161711194,0.3738095238095238,1.394047619047619,0.6261904761904762,0.0,0.0,303,0.9471947194719472,
component:M,calibration,locf,840,840,0.0,0.685835727802458,4.469265473732158,0.9785714285714285,0.02738095238095238,0.014285714285714285,0.007142857142857143,0.007142857142857143,303,0.009900990099009901,0.007142857142857143
component:M,calibration,mean_imputation,840,840,0.0,26.952839026409414,32.00218641501666,0.225,1.0845238095238094,0.3416666666666667,0.43333333333333335,0.43333333333333335,303,0.9471947194719472,
component:M,calibration,proposed,840,840,0.0,35.18088537515631,46.368408161711194,0.3738095238095238,1.394047619047619,0.6261904761904762,0.0,0.0,303,0.9471947194719472,
component:M,validation,drop,360,0,1.0,,,,,,,,0,,
component:M,validation,favourable_value,360,360,0.0,43.60169711065657,51.245689623637205,0.20555555555555555,1.7555555555555555,0.7944444444444444,0.0,0.0,220,0.8909090909090909,
component:M,validation,locf,360,360,0.0,0.8961785603408887,5.859432362884386,0.9666666666666667,0.044444444444444446,0.019444444444444445,0.013888888888888888,0.013888888888888888,220,0.01818181818181818,0.011111111111111112
component:M,validation,mean_imputation,360,360,0.0,21.08337129712585,24.948633117724714,0.25555555555555554,0.85,0.5444444444444444,0.2,0.2,220,0.8909090909090909,
component:M,validation,proposed,360,360,0.0,43.60169711065657,51.245689623637205,0.20555555555555555,1.7555555555555555,0.7944444444444444,0.0,0.0,220,0.8909090909090909,
component:V,calibration,drop,840,0,1.0,,,,,,,,0,,
component:V,calibration,favourable_value,840,840,0.0,0.5724203985175546,4.185113254740477,0.9821428571428571,0.02261904761904762,0.017857142857142856,0.0,0.0,303,0.0,
component:V,calibration,locf,840,840,0.0,0.09139110538726083,0.9863101351874474,0.9976190476190476,0.002380952380952381,0.0011904761904761906,0.0011904761904761906,0.0011904761904761906,303,0.0,0.002380952380952381
component:V,calibration,mean_imputation,840,840,0.0,0.5724203985175546,4.185113254740477,0.9821428571428571,0.02261904761904762,0.017857142857142856,0.0,0.0,303,0.0,
component:V,calibration,proposed,840,840,0.0,0.5724203985175546,4.185113254740477,0.9821428571428571,0.02261904761904762,0.017857142857142856,0.0,0.0,303,0.0,
component:V,validation,drop,360,0,1.0,,,,,,,,0,,
component:V,validation,favourable_value,360,360,0.0,0.6231666768424167,3.387366785981511,0.9777777777777777,0.022222222222222223,0.022222222222222223,0.0,0.0,220,0.0,
component:V,validation,locf,360,360,0.0,0.07200515748782978,0.4164885525261634,1.0,0.0,0.0,0.0,0.0,220,0.0,0.0
component:V,validation,mean_imputation,360,360,0.0,0.6231666768424167,3.387366785981511,0.9777777777777777,0.022222222222222223,0.022222222222222223,0.0,0.0,220,0.0,
component:V,validation,proposed,360,360,0.0,0.6231666768424167,3.387366785981511,0.9777777777777777,0.022222222222222223,0.022222222222222223,0.0,0.0,220,0.0,
direct_input:co2,calibration,drop,840,0,1.0,,,,,,,,0,,
direct_input:co2,calibration,favourable_value,840,840,0.0,0.5724203985175546,4.185113254740477,0.9821428571428571,0.02261904761904762,0.017857142857142856,0.0,0.0,303,0.0,
direct_input:co2,calibration,locf,840,840,0.0,0.09139110538726083,0.9863101351874474,0.9976190476190476,0.002380952380952381,0.0011904761904761906,0.0011904761904761906,0.0011904761904761906,303,0.0,0.002380952380952381
direct_input:co2,calibration,mean_imputation,840,840,0.0,0.5724203985175546,4.185113254740477,0.9821428571428571,0.02261904761904762,0.017857142857142856,0.0,0.0,303,0.0,
direct_input:co2,calibration,proposed,840,840,0.0,0.5724203985175546,4.185113254740477,0.9821428571428571,0.02261904761904762,0.017857142857142856,0.0,0.0,303,0.0,
direct_input:co2,validation,drop,360,0,1.0,,,,,,,,0,,
direct_input:co2,validation,favourable_value,360,360,0.0,0.6231666768424167,3.387366785981511,0.9777777777777777,0.022222222222222223,0.022222222222222223,0.0,0.0,220,0.0,
direct_input:co2,validation,locf,360,360,0.0,0.07200515748782978,0.4164885525261634,1.0,0.0,0.0,0.0,0.0,220,0.0,0.0
direct_input:co2,validation,mean_imputation,360,360,0.0,0.6231666768424167,3.387366785981511,0.9777777777777777,0.022222222222222223,0.022222222222222223,0.0,0.0,220,0.0,
direct_input:co2,validation,proposed,360,360,0.0,0.6231666768424167,3.387366785981511,0.9777777777777777,0.022222222222222223,0.022222222222222223,0.0,0.0,220,0.0,
direct_input:humidity,calibration,drop,840,0,1.0,,,,,,,,0,,
direct_input:humidity,calibration,favourable_value,840,840,0.0,2.139339141546326,7.811738906433528,0.930952380952381,0.07857142857142857,0.06904761904761905,0.0,0.0,303,0.0033003300330033004,
direct_input:humidity,calibration,locf,840,840,0.0,0.19336458503300777,2.23911681094702,0.9916666666666667,0.009523809523809525,0.0035714285714285713,0.004761904761904762,0.004761904761904762,303,0.0033003300330033004,0.0035714285714285713
direct_input:humidity,calibration,mean_imputation,840,840,0.0,2.139339141546326,7.811738906433528,0.930952380952381,0.07857142857142857,0.06904761904761905,0.0,0.0,303,0.0033003300330033004,
direct_input:humidity,calibration,proposed,840,840,0.0,35.18088537515631,46.368408161711194,0.3738095238095238,1.394047619047619,0.6261904761904762,0.0,0.0,303,0.9471947194719472,
direct_input:humidity,validation,drop,360,0,1.0,,,,,,,,0,,
direct_input:humidity,validation,favourable_value,360,360,0.0,0.2594225826287424,2.3305056998873517,0.9888888888888889,0.011111111111111112,0.011111111111111112,0.0,0.0,220,0.0,
direct_input:humidity,validation,locf,360,360,0.0,0.007392068259854545,0.04676300347177282,0.9944444444444445,0.005555555555555556,0.002777777777777778,0.002777777777777778,0.002777777777777778,220,0.0,0.0
direct_input:humidity,validation,mean_imputation,360,360,0.0,0.2594225826287424,2.3305056998873517,0.9888888888888889,0.011111111111111112,0.011111111111111112,0.0,0.0,220,0.0,
direct_input:humidity,validation,proposed,360,360,0.0,43.60169711065657,51.245689623637205,0.20555555555555555,1.7555555555555555,0.7944444444444444,0.0,0.0,220,0.8909090909090909,
direct_input:pm10,calibration,drop,840,0,1.0,,,,,,,,0,,
direct_input:pm10,calibration,favourable_value,840,840,0.0,0.00074093522638278,0.01071102429200331,1.0,0.0,0.0,0.0,0.0,303,0.0,
direct_input:pm10,calibration,locf,840,840,0.0,0.0017747931960746498,0.027819922821746047,1.0,0.0,0.0,0.0,0.0,303,0.0,0.0011904761904761906
direct_input:pm10,calibration,mean_imputation,840,840,0.0,0.00074093522638278,0.01071102429200331,1.0,0.0,0.0,0.0,0.0,303,0.0,
direct_input:pm10,calibration,proposed,840,840,0.0,0.7062518078829113,5.611337937951467,0.9821428571428571,0.02857142857142857,0.017857142857142856,0.0,0.0,303,0.033003300330033,
direct_input:pm10,validation,drop,360,0,1.0,,,,,,,,0,,
direct_input:pm10,validation,favourable_value,360,360,0.0,0.003419254716680735,0.024898393456967854,1.0,0.0,0.0,0.0,0.0,220,0.0,
direct_input:pm10,validation,locf,360,360,0.0,0.0009771097565558823,0.00676763278295137,1.0,0.0,0.0,0.0,0.0,220,0.0,0.0
direct_input:pm10,validation,mean_imputation,360,360,0.0,0.003419254716680735,0.024898393456967854,1.0,0.0,0.0,0.0,0.0,220,0.0,
direct_input:pm10,validation,proposed,360,360,0.0,0.011708184400384675,0.04152935174527733,1.0,0.0,0.0,0.0,0.0,220,0.0,
direct_input:pm2_5,calibration,drop,840,0,1.0,,,,,,,,0,,
direct_input:pm2_5,calibration,favourable_value,840,840,0.0,0.38131764450010436,3.667165861887985,0.9904761904761905,0.013095238095238096,0.009523809523809525,0.0,0.0,303,0.009900990099009901,
direct_input:pm2_5,calibration,locf,840,840,0.0,0.10981440565135465,1.4215907416041271,0.9952380952380953,0.004761904761904762,0.0,0.004761904761904762,0.004761904761904762,303,0.0,0.0011904761904761906
direct_input:pm2_5,calibration,mean_imputation,840,840,0.0,0.38131764450010436,3.667165861887985,0.9904761904761905,0.013095238095238096,0.009523809523809525,0.0,0.0,303,0.009900990099009901,
direct_input:pm2_5,calibration,proposed,840,840,0.0,0.7062518078829113,5.611337937951467,0.9821428571428571,0.02857142857142857,0.017857142857142856,0.0,0.0,303,0.033003300330033,
direct_input:pm2_5,validation,drop,360,0,1.0,,,,,,,,0,,
direct_input:pm2_5,validation,favourable_value,360,360,0.0,0.008288929683703941,0.03323788590817699,1.0,0.0,0.0,0.0,0.0,220,0.0,
direct_input:pm2_5,validation,locf,360,360,0.0,0.0029342801017974425,0.016255624760541817,1.0,0.0,0.0,0.0,0.0,220,0.0,0.0
direct_input:pm2_5,validation,mean_imputation,360,360,0.0,0.008288929683703941,0.03323788590817699,1.0,0.0,0.0,0.0,0.0,220,0.0,
direct_input:pm2_5,validation,proposed,360,360,0.0,0.011708184400384675,0.04152935174527733,1.0,0.0,0.0,0.0,0.0,220,0.0,
direct_input:temperature,calibration,drop,840,0,1.0,,,,,,,,0,,
direct_input:temperature,calibration,favourable_value,840,840,0.0,31.20858959329502,44.00249293833204,0.45714285714285713,1.2428571428571429,0.5428571428571428,0.0,0.0,303,0.9438943894389439,
direct_input:temperature,calibration,locf,840,840,0.0,0.5553938856271384,4.274192751215313,0.9857142857142858,0.02023809523809524,0.011904761904761904,0.002380952380952381,0.002380952380952381,303,0.009900990099009901,0.007142857142857143
direct_input:temperature,calibration,mean_imputation,840,840,0.0,26.9226741370263,31.99050573848885,0.2261904761904762,1.0833333333333333,0.3404761904761905,0.43333333333333335,0.43333333333333335,303,0.9438943894389439,
direct_input:temperature,calibration,proposed,840,840,0.0,35.18088537515631,46.368408161711194,0.3738095238095238,1.394047619047619,0.6261904761904762,0.0,0.0,303,0.9471947194719472,
direct_input:temperature,validation,drop,360,0,1.0,,,,,,,,0,,
direct_input:temperature,validation,favourable_value,360,360,0.0,42.00530475472221,49.740781915809784,0.21944444444444444,1.6916666666666667,0.7805555555555556,0.0,0.0,220,0.8909090909090909,
direct_input:temperature,validation,locf,360,360,0.0,0.8938025396466892,5.85968631709508,0.9722222222222222,0.03888888888888889,0.016666666666666666,0.011111111111111112,0.011111111111111112,220,0.01818181818181818,0.011111111111111112
direct_input:temperature,validation,mean_imputation,360,360,0.0,21.08174073647646,24.948628792927547,0.25555555555555554,0.85,0.5444444444444444,0.2,0.2,220,0.8909090909090909,
