hour_of_day,n_critical,n_dominant_A,n_dominant_V,n_dominant_M,n_ties
0,296,79,33,184,2
1,243,68,3,172,0
2,224,74,3,147,0
3,187,58,9,120,0
4,172,52,0,120,0
5,144,60,6,78,0
6,142,58,7,77,0
7,147,44,5,98,0
8,181,52,21,108,0
9,213,45,12,156,0
10,248,43,8,197,4
11,275,59,7,209,18
12,281,47,6,228,27
13,276,51,35,190,16
14,306,67,17,222,23
15,336,43,31,262,20
16,378,67,26,285,15
17,417,59,36,322,23
18,441,53,32,356,30
19,437,54,20,363,15
20,461,68,22,371,7
21,386,79,12,295,0
22,325,57,46,222,7
23,325,104,30,191,15
